model,train-dataset,test-settings,test-hash,test-size,n_samples,#matches,match_percentage
passgan,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,10000000,21543,1.97%
passgan,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,25000000,36815,3.36%
passgan,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,50000000,52201,4.76%
passgan,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,75000000,62654,5.72%
passgan,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,100000000,70428,6.43%
passgan,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,250000000,97221,8.87%
passgan,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,500000000,118725,10.84%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,1000000,875,0.05%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,2500000,1876,0.10%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,5000000,3175,0.17%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,7500000,4252,0.23%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,10000000,5169,0.28%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,25000000,9266,0.50%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,50000000,13982,0.75%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,75000000,17403,0.93%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,100000000,20091,1.08%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,250000000,30948,1.66%
passgan,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,500000000,41502,2.23%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,1000000,6475,0.07%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,2500000,14462,0.16%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,5000000,25443,0.28%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,7500000,35062,0.39%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,10000000,43362,0.48%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,25000000,80699,0.90%
