model,train-dataset,test-settings,test-hash,test-size,n_samples,#matches,match_percentage
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,50000000,102464,22.84%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,75000000,112920,25.17%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,100000000,120214,26.80%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,250000000,144114,32.13%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,500000000,162039,36.12%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,1000000,6022,0.55%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,2500000,14212,1.30%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,5000000,26551,2.42%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,7500000,37413,3.41%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,10000000,47181,4.31%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,25000000,90869,8.29%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,50000000,136293,12.44%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,75000000,166080,15.16%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,100000000,188533,17.21%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,250000000,262623,23.97%
passgpt,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,500000000,319509,29.16%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,1000000,21543,0.70%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,2500000,52966,1.73%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,5000000,101658,3.32%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,7500000,147616,4.82%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,10000000,190088,6.20%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,25000000,396021,12.92%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,50000000,621476,20.27%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,75000000,769077,25.09%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,100000000,874386,28.53%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,250000000,1189289,38.80%
passgpt,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,500000000,1401034,45.71%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,1000000,19047,0.21%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,2500000,47108,0.52%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,5000000,92322,1.03%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,7500000,136806,1.52%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,10000000,179907,2.00%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,25000000,415836,4.63%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,50000000,738988,8.22%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,75000000,997595,11.10%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,100000000,1209550,13.46%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,250000000,1973637,21.97%
passgpt,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,500000000,2567902,28.58%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,1000000,7693,0.41%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,2500000,18169,0.98%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,5000000,33457,1.80%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,7500000,46661,2.50%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,10000000,58292,3.13%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,25000000,107534,5.77%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,50000000,153892,8.26%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,75000000,183127,9.83%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,100000000,203909,10.94%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,250000000,273003,14.65%
passgpt,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,500000000,327513,17.58%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,1000000,9128,10.72%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,2500000,12710,14.93%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,5000000,15200,17.85%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,7500000,16735,19.65%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,10000000,17857,20.97%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,25000000,21457,25.20%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,50000000,24497,28.77%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,75000000,26258,30.84%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,100000000,27615,32.43%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,250000000,31814,37.36%
passgpt,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,500000000,35031,41.14%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,1000000,14356,21.46%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,2500000,18519,27.69%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,5000000,21838,32.65%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,7500000,23844,35.65%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,10000000,25212,37.69%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,25000000,29524,44.14%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,50000000,32902,49.19%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,75000000,34955,52.26%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,100000000,36418,54.45%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,250000000,40853,61.08%
fla,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,500000000,43898,65.63%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,1000000,79978,12.41%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,2500000,116809,18.13%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,5000000,147861,22.95%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,7500000,165481,25.68%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,10000000,177515,27.55%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,25000000,214806,33.34%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,50000000,244415,37.93%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,75000000,262561,40.75%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,100000000,275538,42.76%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,250000000,314588,48.82%
fla,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,500000000,344083,53.40%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,1000000,66772,6.09%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,2500000,101942,9.30%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,5000000,138149,12.61%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,7500000,163243,14.90%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,10000000,182460,16.65%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,25000000,247818,22.62%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,50000000,297856,27.19%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,75000000,328941,30.02%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,100000000,351375,32.07%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,250000000,425897,38.87%
fla,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,500000000,482325,44.03%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,1000000,70579,15.73%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,2500000,93590,20.86%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,5000000,111920,24.95%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,7500000,122300,27.26%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,10000000,129540,28.88%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,25000000,153519,34.22%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,50000000,173258,38.62%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,75000000,184126,41.05%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,100000000,191565,42.70%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,250000000,213908,47.68%
fla,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,500000000,229609,51.18%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,1000000,110096,5.91%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,2500000,166051,8.91%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,5000000,211527,11.35%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,7500000,238923,12.82%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,10000000,258461,13.87%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,25000000,322599,17.31%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,50000000,372053,19.97%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,75000000,401632,21.55%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,100000000,417308,22.40%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,250000000,456651,24.51%
fla,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,500000000,532122,28.56%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,1000000,235954,7.70%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,2500000,418245,13.64%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,5000000,581976,18.99%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,7500000,680489,22.20%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,10000000,749267,24.44%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,25000000,976580,31.86%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,50000000,1167392,38.08%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,75000000,1273219,41.54%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,100000000,1344373,43.86%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,250000000,1564617,51.04%
fla,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,500000000,1749425,57.07%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,1000000,23380,27.46%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,2500000,27643,32.46%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,5000000,30807,36.18%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,7500000,32609,38.29%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,10000000,33947,39.86%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,25000000,38071,44.71%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,50000000,40995,48.14%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,75000000,42632,50.06%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,100000000,43810,51.45%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,250000000,47451,55.72%
fla,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,500000000,50127,58.87%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,1000000,153797,1.71%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,2500000,338304,3.77%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,5000000,564158,6.28%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,7500000,724255,8.06%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,10000000,846959,9.43%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,25000000,1293220,14.39%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,50000000,1696992,18.89%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,75000000,1956551,21.77%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,100000000,2146344,23.89%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,250000000,2771433,30.84%
fla,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,500000000,3268786,36.38%
passflow,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207041,500000000,8049,3.89%
passflow,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9461,500000000,1654,17.48%
passflow,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71594,500000000,12786,17.86%
passflow,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7432,500000000,928,12.49%
passflow,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998371,500000000,27966,2.80%
passflow,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121725,500000000,34385,28.25%
passflow,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49843,500000000,25673,51.51%
passflow,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863368,500000000,39263,2.11%
passflow,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985300,500000000,322718,3.59%
passflow,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340584,500000000,123396,36.23%
passflow,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065270,500000000,493026,16.08%
passflow,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85154,500000000,9161,10.76%
passflow,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448591,500000000,88465,19.72%
passflow,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66887,500000000,9409,14.07%
passflow,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644351,500000000,71716,11.13%
passflow,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095560,500000000,182939,16.70%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,1000000,14964,8.79%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,2500000,22756,13.36%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,5000000,28620,16.81%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,7500000,32244,18.93%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,10000000,34855,20.47%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,25000000,43264,25.41%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,50000000,51309,30.13%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,75000000,55273,32.46%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,100000000,57719,33.89%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,250000000,66038,38.78%
passflow,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,500000000,71138,41.77%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,1000000,10906,43.76%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,2500000,11397,45.73%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,5000000,11831,47.47%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,7500000,12025,48.25%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,10000000,12176,48.86%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,25000000,12709,51.00%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,50000000,13085,52.50%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,75000000,13281,53.29%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,100000000,13487,54.12%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,250000000,14040,56.34%
passflow,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,500000000,14487,58.13%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,1000000,4,0.00%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,2500000,9,0.01%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,5000000,19,0.02%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,7500000,26,0.03%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,10000000,1113,1.08%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,25000000,2425,2.34%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,50000000,2881,2.78%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,75000000,3175,3.07%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,100000000,3489,3.37%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,250000000,4382,4.23%
passflow,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,500000000,5207,5.03%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,1000000,13,0.00%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,2500000,129,0.03%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,5000000,488,0.10%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,7500000,774,0.16%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,10000000,1016,0.20%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,25000000,2053,0.41%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,50000000,3325,0.67%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,75000000,4383,0.88%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,100000000,5329,1.07%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,250000000,9398,1.88%
passflow,linkedin,all-12-5-100-80,07ad11014dc6bf449c4d7bcd610d6725,499186,500000000,14130,2.83%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,1000000,3,0.08%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,2500000,10,0.27%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,5000000,23,0.62%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,7500000,40,1.08%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,10000000,61,1.64%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,25000000,120,3.23%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,50000000,183,4.92%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,75000000,220,5.92%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,100000000,246,6.62%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,250000000,364,9.79%
passflow,ashleymadison,all-12-5-100-80,47fe06a55d7eb402e9f65ebc234e7d6a,3717,500000000,467,12.56%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,1000000,3,0.06%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,2500000,6,0.13%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,5000000,15,0.32%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,7500000,94,1.99%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,10000000,132,2.79%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,25000000,254,5.37%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,50000000,338,7.14%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,75000000,393,8.31%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,100000000,465,9.83%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,250000000,655,13.84%
passflow,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,500000000,826,17.46%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,1000000,23,0.06%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,2500000,1022,2.85%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,5000000,1508,4.21%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,7500000,1766,4.93%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,10000000,2031,5.67%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,25000000,2889,8.07%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,50000000,3688,10.30%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,75000000,4138,11.56%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,100000000,4567,12.76%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,250000000,6011,16.79%
passflow,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,500000000,7194,20.10%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,1000000,11364,18.67%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,2500000,14103,23.17%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,5000000,16073,26.41%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,7500000,17046,28.01%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,10000000,17701,29.08%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,25000000,20270,33.30%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,50000000,21605,35.50%
passflow,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,75000000,22367,36.75%
