model,dataset,test-size,key,percentage
vgpt2,000webhost,3.59,r19,3.59
vgpt2,000webhost,0.35,r9,0.35
vgpt2,000webhost,0.15,r7,0.15
vgpt2,000webhost,0.15,r11,0.15
vgpt2,000webhost,0.49,r14,0.49
vgpt2,000webhost,0.27,r12,0.27
vgpt2,000webhost,2.7,r1,2.7
vgpt2,000webhost,2.77,r2,2.77
vgpt2,000webhost,0.14,r18,0.14
vgpt2,000webhost,21.44,r4,21.44
vgpt2,000webhost,0.58,r8,0.58
vgpt2,000webhost,0.36,r13,0.36
vgpt2,000webhost,17.5,r5,17.5
vgpt2,000webhost,0.0,r16,0.0
vgpt2,000webhost,2.22,r15,2.22
vgpt2,000webhost,0.28,r17,0.28
vgpt2,000webhost,6.92,r3,6.92
vgpt2,rockyou,19.82,r1,19.82
vgpt2,rockyou,21.29,r2,21.29
vgpt2,rockyou,11.25,r6,11.25
vgpt2,rockyou,37.47,r4,37.47
vgpt2,rockyou,35.52,r14,35.52
vgpt2,rockyou,12.52,r10,12.52
vgpt2,rockyou,2.64,r7,2.64
vgpt2,rockyou,4.89,r3,4.89
vgpt2,rockyou,19.19,r19,19.19
vgpt2,rockyou,0.93,r9,0.93
vgpt2,rockyou,1.34,r8,1.34
vgpt2,rockyou,3.58,r11,3.58
vgpt2,rockyou,0.06,r16,0.06
vgpt2,rockyou,4.66,r12,4.66
vgpt2,rockyou,0.19,r17,0.19
vgpt2,rockyou,4.35,r18,4.35
vgpt2,rockyou,0.34,r15,0.34
vgpt2,rockyou,1.4,r13,1.4
vgpt2,rockyou,1.13,r5,1.13
vgpt2,linkedin,4.57,r6,4.57
vgpt2,linkedin,5.24,r10,5.24
vgpt2,linkedin,7.43,r19,7.43
vgpt2,linkedin,8.74,r1,8.74
vgpt2,linkedin,9.59,r2,9.59
vgpt2,linkedin,19.89,r4,19.89
vgpt2,linkedin,16.52,r14,16.52
vgpt2,linkedin,0.23,r9,0.23
vgpt2,linkedin,1.56,r12,1.56
vgpt2,linkedin,0.42,r11,0.42
vgpt2,linkedin,0.41,r18,0.41
vgpt2,linkedin,0.55,r7,0.55
vgpt2,linkedin,0.54,r8,0.54
vgpt2,linkedin,0.94,r3,0.94
vgpt2,linkedin,0.03,r16,0.03
vgpt2,linkedin,0.6,r5,0.6
vgpt2,linkedin,0.05,r17,0.05
vgpt2,linkedin,0.26,r13,0.26
vgpt2,linkedin,0.24,r15,0.24
fla,ashleymadison,67.9,r1,67.9
fla,ashleymadison,69.78,r2,69.78
fla,ashleymadison,59.46,r6,59.46
fla,ashleymadison,65.78,r10,65.78
fla,ashleymadison,70.78,r19,70.78
fla,ashleymadison,87.37,r4,87.37
fla,ashleymadison,81.99,r14,81.99
fla,ashleymadison,35.34,r3,35.34
fla,ashleymadison,3.81,r9,3.81
fla,ashleymadison,48.9,r12,48.9
fla,ashleymadison,8.22,r11,8.22
fla,ashleymadison,5.26,r8,5.26
fla,ashleymadison,0.0,r16,0.0
fla,ashleymadison,6.58,r7,6.58
fla,ashleymadison,20.0,r18,20.0
fla,ashleymadison,7.14,r13,7.14
fla,ashleymadison,0.0,r17,0.0
fla,ashleymadison,0.0,r5,0.0
fla,ashleymadison,0.0,r15,0.0
fla,libero,54.22,r6,54.22
fla,libero,65.43,r10,65.43
fla,libero,70.75,r1,70.75
fla,libero,71.9,r2,71.9
fla,libero,74.68,r4,74.68
fla,libero,61.69,r14,61.69
fla,libero,65.56,r19,65.56
fla,libero,27.68,r7,27.68
fla,libero,44.49,r12,44.49
fla,libero,64.74,r3,64.74
fla,libero,20.58,r9,20.58
fla,libero,28.21,r11,28.21
fla,libero,19.0,r13,19.0
fla,libero,42.11,r8,42.11
fla,libero,3.7,r16,3.7
fla,libero,32.25,r18,32.25
fla,libero,5.26,r17,5.26
fla,libero,29.41,r15,29.41
fla,libero,33.33,r5,33.33
fla,mailru,54.46,r1,54.46
fla,mailru,61.79,r2,61.79
fla,mailru,88.17,r4,88.17
fla,mailru,78.09,r14,78.09
fla,mailru,61.6,r19,61.6
fla,mailru,47.73,r6,47.73
fla,mailru,52.93,r10,52.93
fla,mailru,21.42,r7,21.42
fla,mailru,20.11,r9,20.11
fla,mailru,12.82,r12,12.82
fla,mailru,44.54,r3,44.54
fla,mailru,48.23,r8,48.23
fla,mailru,41.21,r17,41.21
fla,mailru,16.11,r11,16.11
fla,mailru,25.81,r15,25.81
fla,mailru,35.3,r13,35.3
fla,mailru,27.51,r16,27.51
fla,mailru,25.55,r18,25.55
fla,mailru,75.0,r5,75.0
fla,gmail,50.2,r6,50.2
fla,gmail,58.01,r10,58.01
fla,gmail,62.89,r1,62.89
fla,gmail,62.89,r2,62.89
fla,gmail,63.4,r19,63.4
fla,gmail,69.72,r4,69.72
fla,gmail,65.15,r14,65.15
fla,gmail,45.69,r12,45.69
fla,gmail,24.32,r7,24.32
fla,gmail,32.62,r11,32.62
fla,gmail,17.44,r9,17.44
fla,gmail,21.42,r13,21.42
fla,gmail,24.73,r8,24.73
fla,gmail,16.14,r15,16.14
fla,gmail,9.7,r16,9.7
fla,gmail,6.65,r17,6.65
fla,gmail,22.36,r5,22.36
fla,taobao,34.34,r6,34.34
fla,taobao,35.5,r10,35.5
fla,taobao,67.22,r4,67.22
fla,taobao,66.03,r14,66.03
fla,taobao,48.42,r19,48.42
fla,taobao,56.54,r1,56.54
fla,taobao,57.32,r2,57.32
fla,taobao,20.47,r12,20.47
fla,taobao,20.27,r9,20.27
fla,taobao,44.29,r11,44.29
fla,taobao,60.81,r8,60.81
fla,taobao,60.81,r13,60.81
fla,taobao,17.25,r7,17.25
fla,taobao,26.22,r3,26.22
fla,taobao,43.42,r17,43.42
fla,taobao,38.89,r16,38.89
fla,taobao,47.37,r5,47.37
fla,taobao,44.68,r18,44.68
fla,taobao,12.5,r15,12.5
fla,000webhost,33.05,r6,33.05
fla,000webhost,38.81,r10,38.81
fla,000webhost,20.12,r9,20.12
fla,000webhost,22.46,r11,22.46
fla,000webhost,38.69,r19,38.69
fla,000webhost,13.37,r14,13.37
fla,000webhost,21.16,r1,21.16
fla,000webhost,23.78,r12,23.78
fla,000webhost,25.99,r13,25.99
fla,000webhost,20.27,r7,20.27
fla,000webhost,36.71,r8,36.71
fla,000webhost,23.61,r18,23.61
fla,000webhost,12.22,r15,12.22
fla,000webhost,22.35,r2,22.35
fla,000webhost,10.99,r16,10.99
fla,000webhost,10.96,r17,10.96
fla,000webhost,37.56,r4,37.56
fla,000webhost,30.83,r5,30.83
fla,000webhost,8.46,r3,8.46
fla,rockyou,58.06,r6,58.06
fla,rockyou,62.95,r10,62.95
fla,rockyou,60.58,r1,60.58
fla,rockyou,61.36,r2,61.36
fla,rockyou,73.38,r14,73.38
fla,rockyou,76.16,r4,76.16
fla,rockyou,66.92,r19,66.92
fla,rockyou,37.27,r7,37.27
fla,rockyou,42.86,r11,42.86
fla,rockyou,52.56,r18,52.56
fla,rockyou,21.43,r16,21.43
fla,rockyou,20.27,r9,20.27
fla,rockyou,46.73,r12,46.73
fla,rockyou,35.2,r8,35.2
fla,rockyou,4.85,r17,4.85
fla,rockyou,56.45,r3,56.45
fla,rockyou,12.69,r13,12.69
fla,rockyou,24.04,r15,24.04
fla,rockyou,30.59,r5,30.59
fla,linkedin,35.81,r6,35.81
fla,linkedin,41.24,r10,41.24
fla,linkedin,36.62,r1,36.62
fla,linkedin,38.15,r2,38.15
fla,linkedin,11.09,r7,11.09
fla,linkedin,12.11,r9,12.11
fla,linkedin,59.55,r4,59.55
fla,linkedin,51.26,r14,51.26
fla,linkedin,43.0,r19,43.0
fla,linkedin,26.78,r3,26.78
fla,linkedin,2.8,r16,2.8
fla,linkedin,18.14,r18,18.14
fla,linkedin,18.04,r12,18.04
fla,linkedin,15.43,r11,15.43
fla,linkedin,13.64,r8,13.64
fla,linkedin,9.79,r15,9.79
fla,linkedin,4.5,r13,4.5
fla,linkedin,3.86,r17,3.86
fla,linkedin,4.52,r5,4.52
plr_gan,gmail,8.35,r6,8.35
plr_gan,gmail,10.35,r10,10.35
plr_gan,gmail,17.18,r1,17.18
plr_gan,gmail,17.18,r2,17.18
plr_gan,gmail,18.64,r19,18.64
plr_gan,gmail,48.4,r4,48.4
plr_gan,gmail,44.13,r14,44.13
plr_gan,gmail,0.22,r7,0.22
plr_gan,gmail,0.82,r16,0.82
plr_gan,gmail,0.0,r9,0.0
plr_gan,gmail,0.25,r11,0.25
plr_gan,gmail,2.11,r12,2.11
plr_gan,gmail,0.42,r8,0.42
plr_gan,gmail,0.63,r13,0.63
plr_gan,gmail,0.0,r17,0.0
plr_gan,gmail,0.0,r15,0.0
plr_gan,gmail,3.11,r5,3.11
