model,dataset,test-size,key,percentage
plr_gan,linkedin,44,4,22.73
plr_gan,linkedin,10,1,0.0
plr_gan,linkedin,1,3,0.0
passflow,ashleymadison,1633,11,0.0
passflow,ashleymadison,18668,8,0.09
passflow,ashleymadison,14721,6,28.64
passflow,ashleymadison,1926,4,96.42
passflow,ashleymadison,13723,7,1.6
passflow,ashleymadison,9888,9,0.0
passflow,ashleymadison,7228,10,0.0
passflow,ashleymadison,5385,5,74.43
passflow,ashleymadison,155,3,94.19
passflow,ashleymadison,966,12,0.0
passflow,ashleymadison,21,2,85.71
passflow,ashleymadison,6,1,66.67
passflow,libero,31477,8,11.2
passflow,libero,9459,7,8.46
passflow,libero,4697,12,0.0
passflow,libero,12737,6,54.9
passflow,libero,17438,9,0.03
passflow,libero,12247,10,0.0
passflow,libero,6487,11,0.0
passflow,libero,27,4,14.81
passflow,libero,44,5,22.73
passflow,libero,2,3,0.0
passflow,libero,1,2,0.0
passflow,mailru,85038,7,35.27
passflow,mailru,50972,10,0.05
passflow,mailru,74501,9,15.77
passflow,mailru,79124,6,61.4
passflow,mailru,29474,12,0.0
passflow,mailru,135007,8,14.73
passflow,mailru,36530,11,0.0
passflow,mailru,4663,5,61.16
passflow,mailru,3013,4,89.51
passflow,mailru,111,3,71.17
passflow,mailru,2,2,0.0
passflow,mailru,1,1,100.0
passflow,gmail,217137,8,0.42
passflow,gmail,109135,9,0.0
passflow,gmail,106116,6,61.87
passflow,gmail,121286,10,0.0
passflow,gmail,93461,7,2.14
passflow,gmail,27565,11,0.0
passflow,gmail,17203,12,0.0
passflow,gmail,5044,4,95.46
passflow,gmail,2080,3,95.96
passflow,gmail,16700,5,82.93
passflow,gmail,197,2,96.95
passflow,gmail,27,1,88.89
passflow,taobao,230425,9,0.98
passflow,taobao,210559,8,23.95
passflow,taobao,169805,7,58.89
passflow,taobao,233478,10,0.02
passflow,taobao,159572,11,0.0
passflow,taobao,100824,12,0.0
passflow,taobao,109352,6,64.09
passflow,taobao,1699,5,61.51
passflow,taobao,249,3,77.91
passflow,taobao,1246,4,80.98
passflow,taobao,55,2,81.82
passflow,taobao,28,1,96.43
passflow,000webhost,206791,12,0.0
passflow,000webhost,375335,10,0.0
passflow,000webhost,109152,6,38.75
passflow,000webhost,537956,8,0.53
passflow,000webhost,379528,9,0.02
passflow,000webhost,179285,7,5.78
passflow,000webhost,281474,11,0.0
passflow,000webhost,154,4,12.34
passflow,000webhost,445,5,10.34
passflow,000webhost,126,3,7.94
passflow,000webhost,109,2,22.94
passflow,000webhost,55,1,100.0
passflow,rockyou,761164,8,2.32
