model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage,#uniques
PassGPT,linkedin,all-12-2700000-80,NULL,NULL,500000000,1971583,19.75%,422754141
PassGPT,linkedin,all-12-4710736-80,NULL,NULL,500000000,2196855,22.00%,420632243
PassGPT,linkedin,all-12-11802325-80,NULL,NULL,500000000,2523000,25.27%,415966761
PassGPT,linkedin,all-12-20000000-80,NULL,NULL,500000000,2686401,26.91%,410675460
PassGPT,linkedin,all-12-40000000-80,NULL,NULL,500000000,2853447,28.58%,403951523
PassGPT,mailru,all-12-850000-80,NULL,NULL,500000000,164129,32.93%,368819907
PassGPT,mailru,all-12-1785681-80,NULL,NULL,500000000,201153,40.35%,354252862
PassGPT,taobao,all-12-850000-80,NULL,NULL,500000000,334926,27.51%,394596015
PassGPT,taobao,all-12-1785681-80,NULL,NULL,500000000,354351,29.11%,395712119
PassGPT,taobao,all-12-2700000-80,NULL,NULL,500000000,362930,29.81%,397646436
PassGPT,taobao,all-12-4710736-80,NULL,NULL,500000000,374932,30.80%,399077768
VGPT2,rockyou,all-12-850000-80,NULL,NULL,500000000,203520,5.97%,406297973
VGPT2,rockyou,all-12-1785681-80,NULL,NULL,500000000,468437,13.75%,458340363
VGPT2,rockyou,all-12-2700000-80,NULL,NULL,500000000,519717,15.25%,466921862
VGPT2,rockyou,all-12-4710736-80,NULL,NULL,500000000,561687,16.49%,465782993
VGPT2,rockyou,all-12-11802325-80,NULL,NULL,500000000,609988,17.90%,468890150
VGPT2,linkedin,all-12-850000-80,NULL,NULL,500000000,147830,1.48%,449183922
VGPT2,linkedin,all-12-1785681-80,NULL,NULL,500000000,444272,4.44%,486562416
VGPT2,linkedin,all-12-2700000-80,NULL,NULL,500000000,454484,4.55%,487476470
VGPT2,linkedin,all-12-4710736-80,NULL,NULL,500000000,537949,5.38%,484682540
VGPT2,linkedin,all-12-11802325-80,NULL,NULL,500000000,596873,5.97%,485924846
VGPT2,linkedin,all-12-20000000-80,NULL,NULL,500000000,632295,6.33%,485168231
