model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,5000000,40324,4.87%,4896558
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,7500000,51666,6.24%,7297975
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,10000000,60756,7.34%,9675901
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,25000000,94539,11.43%,23640701
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,50000000,124162,15.01%,46166627
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,75000000,142752,17.25%,68091931
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,100000000,156787,18.95%,89585926
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,250000000,204538,24.72%,212844483
passgpt,000webhost,all-8-100-80,11e6f1030f2c14e37ae7b8391011b0dd,827426,500000000,243703,29.45%,405688774
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,1000000,89677,9.37%,1001450
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,2500000,128085,13.38%,2500555
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,5000000,167287,17.48%,5001123
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,7500000,194467,20.32%,7501692
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,10000000,214948,22.46%,10000220
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,25000000,281626,29.43%,25001615
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,50000000,332236,34.72%,50001235
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,75000000,362945,37.92%,75000900
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,100000000,385330,40.26%,100000522
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,250000000,458132,47.87%,249998408
fla,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,500000000,512515,53.55%,499994333
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,1000000,1813,0.19%,1000903
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,2500000,4328,0.45%,2497463
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,5000000,8192,0.86%,4989245
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,7500000,11697,1.22%,7475857
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,10000000,14983,1.57%,9955842
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,25000000,30985,3.24%,24760221
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,50000000,50136,5.24%,49180330
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,75000000,64180,6.71%,73367389
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,100000000,75601,7.90%,97372178
