model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,500000000,111849,36.46%,427362884
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,1000000,7461,0.09%,999254
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,2500000,18318,0.21%,2490139
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,5000000,35048,0.40%,4966440
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,7500000,50759,0.58%,7431616
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,10000000,65620,0.76%,9884845
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,25000000,141285,1.63%,24447060
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,50000000,236899,2.73%,48259240
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,75000000,312170,3.60%,71661804
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,100000000,375272,4.32%,94751160
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,250000000,630897,7.27%,228841120
plr-gan,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,500000000,882666,10.17%,441810399
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,1000000,99613,23.08%,1001472
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,2500000,125513,29.09%,2500608
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,5000000,145876,33.80%,5001216
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,7500000,156939,36.37%,7501823
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,10000000,164454,38.11%,10000383
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,25000000,189096,43.82%,25001982
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,50000000,208493,48.31%,50001916
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,75000000,218803,50.70%,75001845
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,100000000,225676,52.30%,100001776
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,250000000,246138,57.04%,250001347
fla,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,500000000,260750,60.42%,499999845
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,1000000,4393,4.64%,889406
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,2500000,6472,6.84%,2106136
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,5000000,8170,8.63%,4001482
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,7500000,9248,9.77%,5799147
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,10000000,10012,10.58%,7526528
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,25000000,12584,13.30%,17020291
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,50000000,14455,15.28%,31071390
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,75000000,15630,16.52%,43902547
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000000,16518,17.46%,55947884
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,250000000,19202,20.29%,119142209
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,500000000,21297,22.51%,207504594
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,1000000,103561,20.78%,1001472
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,2500000,130299,26.14%,2500608
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,5000000,150340,30.16%,5001216
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,7500000,161491,32.40%,7501823
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,10000000,169248,33.96%,10000383
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,25000000,194522,39.03%,25001975
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,50000000,215178,43.17%,50001893
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,75000000,226515,45.45%,75001813
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,100000000,234299,47.01%,100001723
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,250000000,257553,51.67%,250001144
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,500000000,273891,54.95%,499999340
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,1000000,92296,7.58%,1001463
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,2500000,133043,10.93%,2500586
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,5000000,174214,14.31%,5001178
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,7500000,202470,16.63%,7501768
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,10000000,224094,18.41%,10000309
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,25000000,297270,24.42%,25001755
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,50000000,352743,28.98%,50001439
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,75000000,387012,31.79%,75001128
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,100000000,411678,33.82%,100000807
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,250000000,492929,40.49%,249998811
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,500000000,554345,45.54%,499994533
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,1000000,29593,31.28%,1001472
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,2500000,34320,36.27%,2500608
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,5000000,37769,39.92%,5001216
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,7500000,39733,41.99%,7501824
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,10000000,41186,43.53%,10000384
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,25000000,45618,48.21%,25001984
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,50000000,48754,51.53%,50001920
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,75000000,50493,53.37%,75001855
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000000,51746,54.69%,100001791
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,250000000,55578,58.74%,250001402
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,500000000,58404,61.73%,499999988
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,500000000,709158,7.10%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,1000000,16463,0.16%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,2500000,34593,0.35%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,5000000,60065,0.60%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,7500000,87847,0.88%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,10000000,110678,1.11%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,25000000,201497,2.02%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,50000000,289385,2.90%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,75000000,350366,3.51%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,100000000,398182,3.99%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,250000000,577480,5.78%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,500000000,754562,7.56%
