model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,1000000,1548,2.16%,944716
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,2500000,2712,3.79%,2272004
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,5000000,3872,5.41%,4364964
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,7500000,4696,6.56%,6364606
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,10000000,5341,7.46%,8299915
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,25000000,7671,10.71%,19080717
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,50000000,9616,13.43%,35323029
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,75000000,10783,15.06%,50354888
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,100000000,11614,16.22%,64591824
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,250000000,14341,20.03%,140603473
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,500000000,16415,22.93%,249281750
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,1000000,7916,2.32%,958281
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,2500000,14931,4.38%,2307033
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,5000000,22251,6.53%,4435727
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,7500000,27412,8.05%,6467809
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,10000000,31410,9.22%,8432681
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,25000000,45052,13.23%,19370914
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,50000000,56248,16.51%,35876418
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,75000000,63021,18.50%,51182913
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,100000000,67852,19.92%,65709803
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,250000000,83100,24.40%,143803733
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,500000000,94795,27.83%,256711454
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,1000000,668,0.07%,988555
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,2500000,1620,0.16%,2433675
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,5000000,2831,0.28%,4784111
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,7500000,3892,0.39%,7078864
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,10000000,4796,0.48%,9329263
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,25000000,9071,0.91%,22233922
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,50000000,13650,1.37%,42345371
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,75000000,16994,1.70%,61385630
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,100000000,19780,1.98%,79677295
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,250000000,30332,3.04%,180125038
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,500000000,40117,4.02%,328596701
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,1000000,583,0.28%,988380
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,2500000,1190,0.57%,2441122
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,5000000,1842,0.89%,4820641
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,7500000,2352,1.14%,7162736
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,10000000,2793,1.35%,9472943
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,25000000,4449,2.15%,22930802
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,50000000,5950,2.87%,44378511
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,75000000,7010,3.39%,65056651
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,100000000,7884,3.81%,85181948
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,250000000,10939,5.28%,198860485
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,500000000,13624,6.58%,373276173
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,1000000,2348,1.93%,977035
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,2500000,4389,3.61%,2381756
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,5000000,6580,5.41%,4632909
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,7500000,8073,6.63%,6802636
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,10000000,9276,7.62%,8910334
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,25000000,13636,11.20%,20749570
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,50000000,17223,14.15%,38701957
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,75000000,19468,15.99%,55350236
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,100000000,21029,17.28%,71123242
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,250000000,25942,21.31%,155187213
passgan,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,500000000,29315,24.08%,274501696
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,1000000,218,2.93%,928472
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,2500000,343,4.61%,2214360
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,5000000,464,6.24%,4225955
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,7500000,546,7.35%,6141196
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,10000000,599,8.06%,7989510
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,25000000,806,10.84%,18219020
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,50000000,988,13.29%,33524590
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,75000000,1086,14.61%,47614403
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,100000000,1171,15.75%,60903288
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,250000000,1426,19.18%,131327860
passgan,ashleymadison,all-12-10-100-80,e272b1f096174f662594e7c85546cf1e,7433,500000000,1633,21.97%,230935865
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,1000000,975,10.30%,889406
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,2500000,1378,14.56%,2106136
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,5000000,1702,17.99%,4001482
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,7500000,1895,20.03%,5799147
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,10000000,2035,21.51%,7526528
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,25000000,2457,25.97%,17020291
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,50000000,2772,29.30%,31071390
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,75000000,2987,31.57%,43902547
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,100000000,3130,33.08%,55947884
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,250000000,3519,37.19%,119142209
passgan,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,500000000,3857,40.76%,207504594
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,1000000,6613,13.27%,934057
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,2500000,9896,19.85%,2248831
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,5000000,12450,24.98%,4334517
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,7500000,13894,27.87%,6338397
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,10000000,14851,29.79%,8283377
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,25000000,17666,35.44%,19214652
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,50000000,19396,38.91%,35884608
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,75000000,20319,40.77%,51444640
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,100000000,20908,41.95%,66267515
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,250000000,22712,45.57%,146452046
passgan,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,500000000,23928,48.01%,262986253
vgpt2,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,1000000,296,0.41%,1000984
vgpt2,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,2500000,683,0.95%,2498025
vgpt2,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,5000000,1193,1.67%,4991970
vgpt2,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,7500000,1684,2.35%,7482271
