model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
plrgan,ashleymadison,all-12-100-80,500000000,4,1926,NONE,85.72
plrgan,ashleymadison,all-12-100-80,500000000,9,9888,NONE,1.01
plrgan,ashleymadison,all-12-100-80,500000000,8,18668,NONE,7.41
plrgan,ashleymadison,all-12-100-80,500000000,6,14721,NONE,47.88
plrgan,ashleymadison,all-12-100-80,500000000,7,13723,NONE,19.16
plrgan,ashleymadison,all-12-100-80,500000000,5,5385,NONE,64.75
plrgan,ashleymadison,all-12-100-80,500000000,10,7228,NONE,0.18
plrgan,ashleymadison,all-12-100-80,500000000,12,966,NONE,0.0
plrgan,ashleymadison,all-12-100-80,500000000,3,155,NONE,87.74
plrgan,ashleymadison,all-12-100-80,500000000,11,1633,NONE,0.06
plrgan,ashleymadison,all-12-100-80,500000000,2,21,NONE,95.24
plrgan,ashleymadison,all-12-100-80,500000000,1,6,NONE,83.33
plrgan,libero,all-12-100-80,500000000,8,31477,NONE,26.48
plrgan,libero,all-12-100-80,500000000,6,12737,NONE,65.7
plrgan,libero,all-12-100-80,500000000,9,17438,NONE,10.81
plrgan,libero,all-12-100-80,500000000,7,9459,NONE,34.13
plrgan,libero,all-12-100-80,500000000,10,12247,NONE,4.57
plrgan,libero,all-12-100-80,500000000,12,4697,NONE,0.34
plrgan,libero,all-12-100-80,500000000,11,6487,NONE,1.82
plrgan,libero,all-12-100-80,500000000,4,27,NONE,37.04
plrgan,libero,all-12-100-80,500000000,5,44,NONE,34.09
plrgan,libero,all-12-100-80,500000000,3,2,NONE,50.0
plrgan,libero,all-12-100-80,500000000,2,1,NONE,100.0
plrgan,mailru,all-12-100-80,500000000,9,74501,NONE,16.93
plrgan,mailru,all-12-100-80,500000000,7,85038,NONE,29.48
plrgan,mailru,all-12-100-80,500000000,8,135007,NONE,15.96
plrgan,mailru,all-12-100-80,500000000,6,79124,NONE,52.95
plrgan,mailru,all-12-100-80,500000000,11,36530,NONE,0.1
plrgan,mailru,all-12-100-80,500000000,12,29474,NONE,0.06
plrgan,mailru,all-12-100-80,500000000,10,50972,NONE,0.67
