model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
vgpt2,gmail,all-12-100-80,500000000,11,27565,NONE,0.0
vgpt2,gmail,all-12-100-80,500000000,5,16700,NONE,68.83
vgpt2,gmail,all-12-100-80,500000000,3,2080,NONE,44.71
vgpt2,gmail,all-12-100-80,500000000,2,197,NONE,77.66
vgpt2,gmail,all-12-100-80,500000000,1,27,NONE,96.3
vgpt2,taobao,all-12-100-80,500000000,8,210559,NONE,10.38
vgpt2,taobao,all-12-100-80,500000000,12,100824,NONE,0.16
vgpt2,taobao,all-12-100-80,500000000,10,233478,NONE,1.25
vgpt2,taobao,all-12-100-80,500000000,11,159572,NONE,0.51
vgpt2,taobao,all-12-100-80,500000000,7,169805,NONE,40.25
vgpt2,taobao,all-12-100-80,500000000,9,230425,NONE,2.46
vgpt2,taobao,all-12-100-80,500000000,6,109352,NONE,47.17
vgpt2,taobao,all-12-100-80,500000000,5,1699,NONE,41.44
vgpt2,taobao,all-12-100-80,500000000,4,1246,NONE,52.41
vgpt2,taobao,all-12-100-80,500000000,3,249,NONE,74.7
vgpt2,taobao,all-12-100-80,500000000,2,55,NONE,92.73
vgpt2,taobao,all-12-100-80,500000000,1,28,NONE,96.43
vgpt2,000webhost,all-12-100-80,500000000,9,379528,NONE,0.76
vgpt2,000webhost,all-12-100-80,500000000,8,537956,NONE,2.46
vgpt2,000webhost,all-12-100-80,500000000,11,281474,NONE,0.02
vgpt2,000webhost,all-12-100-80,500000000,10,375335,NONE,0.11
vgpt2,000webhost,all-12-100-80,500000000,12,206791,NONE,0.0
vgpt2,000webhost,all-12-100-80,500000000,7,179285,NONE,8.65
vgpt2,000webhost,all-12-100-80,500000000,6,109152,NONE,19.59
vgpt2,000webhost,all-12-100-80,500000000,5,445,NONE,7.87
vgpt2,000webhost,all-12-100-80,500000000,2,109,NONE,73.39
vgpt2,000webhost,all-12-100-80,500000000,4,154,NONE,12.99
vgpt2,000webhost,all-12-100-80,500000000,3,126,NONE,26.19
vgpt2,000webhost,all-12-100-80,500000000,1,55,NONE,100.0
vgpt2,rockyou,all-12-100-80,500000000,8,761164,NONE,5.4
vgpt2,rockyou,all-12-100-80,500000000,7,651286,NONE,23.75
vgpt2,rockyou,all-12-100-80,500000000,6,594288,NONE,58.29
vgpt2,rockyou,all-12-100-80,500000000,9,529298,NONE,0.72
vgpt2,rockyou,all-12-100-80,500000000,10,463803,NONE,0.18
vgpt2,rockyou,all-12-100-80,500000000,11,194247,NONE,0.0
vgpt2,rockyou,all-12-100-80,500000000,12,121713,NONE,0.0
vgpt2,rockyou,all-12-100-80,500000000,5,83059,NONE,69.7
vgpt2,rockyou,all-12-100-80,500000000,4,6130,NONE,75.66
vgpt2,rockyou,all-12-100-80,500000000,2,108,NONE,84.26
vgpt2,rockyou,all-12-100-80,500000000,3,774,NONE,66.67
vgpt2,rockyou,all-12-100-80,500000000,1,21,NONE,100.0
vgpt2,linkedin,all-12-100-80,500000000,7,1336390,NONE,12.4
vgpt2,linkedin,all-12-100-80,500000000,8,2982323,NONE,3.17
vgpt2,linkedin,all-12-100-80,500000000,10,1521295,NONE,0.07
vgpt2,linkedin,all-12-100-80,500000000,9,1755937,NONE,0.52
vgpt2,linkedin,all-12-100-80,500000000,6,1085113,NONE,35.44
vgpt2,linkedin,all-12-100-80,500000000,12,507388,NONE,0.0
vgpt2,linkedin,all-12-100-80,500000000,11,794698,NONE,0.01
vgpt2,linkedin,all-12-100-80,500000000,5,516,NONE,25.39
vgpt2,linkedin,all-12-100-80,500000000,4,44,NONE,31.82
vgpt2,linkedin,all-12-100-80,500000000,1,10,NONE,100.0
vgpt2,linkedin,all-12-100-80,500000000,3,1,NONE,0.0
fla,ashleymadison,all-12-100-80,500000000,4,1926,NONE,99.38
fla,ashleymadison,all-12-100-80,500000000,8,18668,NONE,61.56
fla,ashleymadison,all-12-100-80,500000000,5,5385,NONE,84.7
fla,ashleymadison,all-12-100-80,500000000,7,13723,NONE,74.85
fla,ashleymadison,all-12-100-80,500000000,9,9888,NONE,48.09
fla,ashleymadison,all-12-100-80,500000000,10,7228,NONE,34.5
fla,ashleymadison,all-12-100-80,500000000,6,14721,NONE,87.47
fla,ashleymadison,all-12-100-80,500000000,11,1633,NONE,19.66
fla,ashleymadison,all-12-100-80,500000000,2,21,NONE,0.0
fla,ashleymadison,all-12-100-80,500000000,12,966,NONE,11.8
fla,ashleymadison,all-12-100-80,500000000,3,155,NONE,0.65
fla,ashleymadison,all-12-100-80,500000000,1,6,NONE,0.0
fla,libero,all-12-100-80,500000000,10,12247,NONE,53.16
fla,libero,all-12-100-80,500000000,8,31477,NONE,58.9
fla,libero,all-12-100-80,500000000,9,17438,NONE,54.59
fla,libero,all-12-100-80,500000000,12,4697,NONE,35.19
fla,libero,all-12-100-80,500000000,6,12737,NONE,92.42
fla,libero,all-12-100-80,500000000,7,9459,NONE,78.83
fla,libero,all-12-100-80,500000000,11,6487,NONE,44.46
fla,libero,all-12-100-80,500000000,4,27,NONE,100.0
fla,libero,all-12-100-80,500000000,5,44,NONE,95.45
fla,libero,all-12-100-80,500000000,3,2,NONE,0.0
fla,libero,all-12-100-80,500000000,2,1,NONE,0.0
fla,mailru,all-12-100-80,500000000,10,50972,NONE,31.65
fla,mailru,all-12-100-80,500000000,6,79124,NONE,85.37
fla,mailru,all-12-100-80,500000000,8,135007,NONE,47.0
fla,mailru,all-12-100-80,500000000,7,85038,NONE,78.86
fla,mailru,all-12-100-80,500000000,9,74501,NONE,53.61
fla,mailru,all-12-100-80,500000000,12,29474,NONE,17.6
fla,mailru,all-12-100-80,500000000,4,3013,NONE,98.27
fla,mailru,all-12-100-80,500000000,11,36530,NONE,20.08
fla,mailru,all-12-100-80,500000000,5,4663,NONE,91.66
fla,mailru,all-12-100-80,500000000,3,111,NONE,0.0
fla,mailru,all-12-100-80,500000000,2,2,NONE,0.0
fla,mailru,all-12-100-80,500000000,1,1,NONE,0.0
fla,gmail,all-12-100-80,500000000,8,217137,NONE,59.51
fla,gmail,all-12-100-80,500000000,9,109135,NONE,46.87
fla,gmail,all-12-100-80,500000000,7,93461,NONE,72.03
fla,gmail,all-12-100-80,500000000,6,106116,NONE,87.85
fla,gmail,all-12-100-80,500000000,10,121286,NONE,27.81
fla,gmail,all-12-100-80,500000000,11,27565,NONE,27.05
fla,gmail,all-12-100-80,500000000,12,17203,NONE,16.61
fla,gmail,all-12-100-80,500000000,5,16700,NONE,93.63
fla,gmail,all-12-100-80,500000000,4,5044,NONE,98.97
fla,gmail,all-12-100-80,500000000,3,2080,NONE,7.84
fla,gmail,all-12-100-80,500000000,1,27,NONE,0.0
fla,gmail,all-12-100-80,500000000,2,197,NONE,2.03
fla,taobao,all-12-100-80,500000000,10,233478,NONE,25.44
fla,taobao,all-12-100-80,500000000,8,210559,NONE,66.18
fla,taobao,all-12-100-80,500000000,6,109352,NONE,83.49
fla,taobao,all-12-100-80,500000000,9,230425,NONE,33.14
fla,taobao,all-12-100-80,500000000,7,169805,NONE,80.44
fla,taobao,all-12-100-80,500000000,11,159572,NONE,18.48
fla,taobao,all-12-100-80,500000000,12,100824,NONE,19.02
fla,taobao,all-12-100-80,500000000,4,1246,NONE,96.47
fla,taobao,all-12-100-80,500000000,5,1699,NONE,87.17
fla,taobao,all-12-100-80,500000000,3,249,NONE,2.81
fla,taobao,all-12-100-80,500000000,2,55,NONE,1.82
fla,taobao,all-12-100-80,500000000,1,28,NONE,10.71
fla,000webhost,all-12-100-80,500000000,7,179285,NONE,51.82
fla,000webhost,all-12-100-80,500000000,12,206791,NONE,12.58
fla,000webhost,all-12-100-80,500000000,10,375335,NONE,24.12
fla,000webhost,all-12-100-80,500000000,9,379528,NONE,35.28
fla,000webhost,all-12-100-80,500000000,8,537956,NONE,36.46
fla,000webhost,all-12-100-80,500000000,11,281474,NONE,16.98
fla,000webhost,all-12-100-80,500000000,6,109152,NONE,74.15
fla,000webhost,all-12-100-80,500000000,5,445,NONE,35.96
fla,000webhost,all-12-100-80,500000000,3,126,NONE,4.76
fla,000webhost,all-12-100-80,500000000,1,55,NONE,3.64
fla,000webhost,all-12-100-80,500000000,4,154,NONE,64.94
fla,000webhost,all-12-100-80,500000000,2,109,NONE,1.83
fla,rockyou,all-12-100-80,500000000,7,651286,NONE,77.2
fla,rockyou,all-12-100-80,500000000,6,594288,NONE,88.58
fla,rockyou,all-12-100-80,500000000,10,463803,NONE,37.56
fla,rockyou,all-12-100-80,500000000,8,761164,NONE,61.55
fla,rockyou,all-12-100-80,500000000,11,194247,NONE,19.9
fla,rockyou,all-12-100-80,500000000,12,121713,NONE,11.6
fla,rockyou,all-12-100-80,500000000,5,83059,NONE,93.95
fla,rockyou,all-12-100-80,500000000,9,529298,NONE,47.4
fla,rockyou,all-12-100-80,500000000,4,6130,NONE,97.08
fla,rockyou,all-12-100-80,500000000,3,774,NONE,4.26
fla,rockyou,all-12-100-80,500000000,2,108,NONE,1.85
fla,rockyou,all-12-100-80,500000000,1,21,NONE,66.67
fla,linkedin,all-12-100-80,500000000,9,1755937,NONE,27.23
fla,linkedin,all-12-100-80,500000000,10,1521295,NONE,14.58
fla,linkedin,all-12-100-80,500000000,12,507388,NONE,4.11
fla,linkedin,all-12-100-80,500000000,8,2982323,NONE,41.85
fla,linkedin,all-12-100-80,500000000,6,1085113,NONE,75.65
fla,linkedin,all-12-100-80,500000000,11,794698,NONE,8.2
fla,linkedin,all-12-100-80,500000000,7,1336390,NONE,58.11
fla,linkedin,all-12-100-80,500000000,5,516,NONE,26.94
fla,linkedin,all-12-100-80,500000000,4,44,NONE,56.82
fla,linkedin,all-12-100-80,500000000,1,10,NONE,0.0
fla,linkedin,all-12-100-80,500000000,3,1,NONE,0.0
plrgan,gmail,all-12-100-80,500000000,10,121286,NONE,0.43
plrgan,gmail,all-12-100-80,500000000,8,217137,NONE,11.77
plrgan,gmail,all-12-100-80,500000000,12,17203,NONE,0.0
plrgan,gmail,all-12-100-80,500000000,7,93461,NONE,19.44
plrgan,gmail,all-12-100-80,500000000,9,109135,NONE,1.85
plrgan,gmail,all-12-100-80,500000000,11,27565,NONE,0.01
plrgan,gmail,all-12-100-80,500000000,6,106116,NONE,56.45
plrgan,gmail,all-12-100-80,500000000,4,5044,NONE,86.04
plrgan,gmail,all-12-100-80,500000000,3,2080,NONE,46.35
plrgan,gmail,all-12-100-80,500000000,5,16700,NONE,72.85
plrgan,gmail,all-12-100-80,500000000,2,197,NONE,71.57
plrgan,gmail,all-12-100-80,500000000,1,27,NONE,88.89
passgan,libero,all-12-100-80,500000000,8,31477,4059,12.9
passgan,libero,all-12-100-80,500000000,9,17438,494,2.83
passgan,libero,all-12-100-80,500000000,10,12247,107,0.87
passgan,libero,all-12-100-80,500000000,7,9459,1163,12.3
passgan,libero,all-12-100-80,500000000,12,4697,2,0.04
passgan,libero,all-12-100-80,500000000,11,6487,19,0.29
passgan,libero,all-12-100-80,500000000,6,12737,4217,33.11
passgan,libero,all-12-100-80,500000000,5,44,6,13.64
passgan,libero,all-12-100-80,500000000,4,27,4,14.81
passgan,libero,all-12-100-80,500000000,3,2,0,0.0
passgan,libero,all-12-100-80,500000000,2,1,0,0.0
passgan,libero,all-12-100-80,500000000,12,4697,2,0.04
passgan,libero,all-12-100-80,500000000,8,31477,4059,12.9
passgan,libero,all-12-100-80,500000000,11,6487,19,0.29
passgan,libero,all-12-100-80,500000000,7,9459,1163,12.3
passgan,libero,all-12-100-80,500000000,6,12737,4217,33.11
passgan,libero,all-12-100-80,500000000,9,17438,494,2.83
passgan,libero,all-12-100-80,500000000,10,12247,107,0.87
passgan,libero,all-12-100-80,500000000,4,27,4,14.81
passgan,libero,all-12-100-80,500000000,5,44,6,13.64
passgan,libero,all-12-100-80,500000000,3,2,0,0.0
passgan,libero,all-12-100-80,500000000,2,1,0,0.0
