model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
passgan,rockyou,all-12-mailru-100-80,NONE,NONE,500000000,NONE,8.43%
passgan,rockyou,all-12-taobao-100-80,NONE,NONE,500000000,NONE,5.57%
passgan,mailru,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,7.39%
passgan,mailru,all-12-taobao-100-80,NONE,NONE,500000000,NONE,4.72%
passgan,taobao,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,6.41%
passgan,taobao,all-12-mailru-100-80,NONE,NONE,500000000,NONE,7.39%
plrgan,rockyou,all-12-mailru-100-80,NONE,NONE,500000000,NONE,13.22%
plrgan,rockyou,all-12-taobao-100-80,NONE,NONE,500000000,NONE,9.10%
plrgan,mailru,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,10.78%
plrgan,mailru,all-12-taobao-100-80,NONE,NONE,500000000,NONE,7.11%
plrgan,taobao,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,9.37%
plrgan,taobao,all-12-mailru-100-80,NONE,NONE,500000000,NONE,10.11%
passflow,rockyou,all-12-mailru-100-80,NONE,NONE,500000000,NONE,14.86%
passflow,rockyou,all-12-taobao-100-80,NONE,NONE,500000000,NONE,9.83%
passflow,mailru,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,16.35%
passflow,mailru,all-12-taobao-100-80,NONE,NONE,500000000,NONE,13.25%
passflow,taobao,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,19.55%
passflow,taobao,all-12-mailru-100-80,NONE,NONE,500000000,NONE,20.20%
passgpt,rockyou,all-12-mailru-100-80,NONE,NONE,500000000,NONE,22.30%
passgpt,rockyou,all-12-taobao-100-80,NONE,NONE,500000000,NONE,13.65%
passgpt,mailru,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,15.82%
passgpt,mailru,all-12-taobao-100-80,NONE,NONE,500000000,NONE,10.74%
passgpt,taobao,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,13.26%
passgpt,taobao,all-12-mailru-100-80,NONE,NONE,500000000,NONE,13.61%
vgpt2,rockyou,all-12-mailru-100-80,NONE,NONE,500000000,NONE,11.40%
vgpt2,rockyou,all-12-taobao-100-80,NONE,NONE,500000000,NONE,6.52%
vgpt2,mailru,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,6.89%
vgpt2,mailru,all-12-taobao-100-80,NONE,NONE,500000000,NONE,4.11%
vgpt2,taobao,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,7.74%
vgpt2,taobao,all-12-mailru-100-80,NONE,NONE,500000000,NONE,8.16%
fla,rockyou,all-12-mailru-100-80,NONE,NONE,500000000,NONE,30.10%
fla,rockyou,all-12-taobao-100-80,NONE,NONE,500000000,NONE,18.71%
fla,mailru,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,26.98%
fla,mailru,all-12-taobao-100-80,NONE,NONE,500000000,NONE,16.36%
fla,taobao,all-12-rockyou-100-80,NONE,NONE,500000000,NONE,23.77%
fla,taobao,all-12-mailru-100-80,NONE,NONE,500000000,NONE,20.94%
