model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,250000000,257553,51.67%
fla,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,500000000,273891,54.95%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,1000000,92296,7.58%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,2500000,133043,10.93%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,5000000,174214,14.31%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,7500000,202470,16.63%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,10000000,224094,18.41%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,25000000,297270,24.42%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,50000000,352743,28.98%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,75000000,387012,31.79%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,100000000,411678,33.82%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,250000000,492929,40.49%
fla,taobao,all-12-100-80,fa51c379cfcce49fc35ca14d65475db4,1217281,500000000,554345,45.54%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,1000000,29593,31.28%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,2500000,34320,36.27%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,5000000,37769,39.92%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,7500000,39733,41.99%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,10000000,41186,43.53%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,25000000,45618,48.21%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,50000000,48754,51.53%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,75000000,50493,53.37%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000000,51746,54.69%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,250000000,55578,58.74%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,500000000,58404,61.73%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,500000000,709158,7.10%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,1000000,16463,0.16%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,2500000,34593,0.35%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,5000000,60065,0.60%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,7500000,87847,0.88%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,10000000,110678,1.11%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,25000000,201497,2.02%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,50000000,289385,2.90%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,75000000,350366,3.51%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,100000000,398182,3.99%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,250000000,577480,5.78%
passflow,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983716,500000000,754562,7.56%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,20000,0,0.00%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,20000,0,0.00%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,20000,0,0.00%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000,180,0.19%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000,57,0.06%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000,0,0.00%
vgpt2,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,5000,0,0.00%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,5000,0,0.00%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,5000,260,0.27%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,0,0.00%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,0,0.00%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,432,0.46%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,154,0.16%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,20000,311,0.33%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,434,0.46%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,164,0.17%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,20000,301,0.32%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,30000,448,0.47%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,175,0.18%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,20000,338,0.36%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,437,0.46%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,188,0.20%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,20000,322,0.34%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,400,0.42%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,152,0.16%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,20000,299,0.32%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,383,0.40%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,139,0.15%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,20000,276,0.29%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,371,0.39%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,10000,136,0.14%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,20000,273,0.29%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,200000,2145,2.27%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,438,0.46%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,5,0.01%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,1,0.00%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,55,0.06%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,100000,260,0.27%
fla,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94617,100000,260,0.27%
plrgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000,1144,1.21%
passgan,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000,1090,1.15%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,0,0.00%
passflow,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,30000,5,0.01%
