combo,train-dataset,test-settings,n_samples,mergeability-index
passflow-vgpt2,rockyou,all-12-100-80,500000000,0.2713096301361765
passflow-passgpt,linkedin,all-12-100-80,500000000,0.03304249211567623
passgan-passgpt,rockyou,all-12-100-80,500000000,0.03795546741188137
passflow-plrgan,linkedin,all-12-100-80,500000000,0.19272319076527294
passgan-plrgan,rockyou,all-12-100-80,500000000,0.1589805027575781
passflow-vgpt2,linkedin,all-12-100-80,500000000,0.24905177716419938
passgan-vgpt2,rockyou,all-12-100-80,500000000,0.20650570175150987
passgpt-plrgan,rockyou,all-12-100-80,500000000,0.06192253372997987
passgan-passgpt,linkedin,all-12-100-80,500000000,0.035331302806745665
passgpt-vgpt2,rockyou,all-12-100-80,500000000,0.05338561855824995
passgan-plrgan,linkedin,all-12-100-80,500000000,0.20073878765728606
plrgan-vgpt2,rockyou,all-12-100-80,500000000,0.26705595365602625
passgan-vgpt2,linkedin,all-12-100-80,500000000,0.3182121363365096
passgpt-plrgan,linkedin,all-12-100-80,500000000,0.07709447555885916
passgpt-vgpt2,linkedin,all-12-100-80,500000000,0.0541250634758592
plrgan-vgpt2,linkedin,all-12-100-80,500000000,0.33594032748213254
