model,train-dataset,test-settings,n_samples,pattern,test-size,matches,match_percentage
vgpt2,gmail,all-12-100-80,500000000,r17,496,4,0.81
vgpt2,gmail,all-12-100-80,500000000,r4,112252,34205,30.47
vgpt2,gmail,all-12-100-80,500000000,r14,123310,34356,27.86
vgpt2,gmail,all-12-100-80,500000000,r12,5073,176,3.47
vgpt2,gmail,all-12-100-80,500000000,r13,789,13,1.65
vgpt2,gmail,all-12-100-80,500000000,r5,161,3,1.86
vgpt2,gmail,all-12-100-80,500000000,r16,608,1,0.16
vgpt2,gmail,all-12-100-80,500000000,r8,1201,19,1.58
vgpt2,gmail,all-12-100-80,500000000,r15,347,31,8.93
vgpt2,gmail,all-12-100-80,500000000,r3,0,0,0
vgpt2,gmail,all-12-100-80,500000000,r18,0,0,0
vgpt2,taobao,all-12-100-80,500000000,r6,731020,32125,4.39
vgpt2,taobao,all-12-100-80,500000000,r10,660031,31412,4.76
vgpt2,taobao,all-12-100-80,500000000,r1,197267,20476,10.38
vgpt2,taobao,all-12-100-80,500000000,r2,193496,20463,10.58
vgpt2,taobao,all-12-100-80,500000000,r4,282949,100308,35.45
vgpt2,taobao,all-12-100-80,500000000,r14,291080,100317,34.46
vgpt2,taobao,all-12-100-80,500000000,r19,117518,16326,13.89
vgpt2,taobao,all-12-100-80,500000000,r8,893,18,2.02
vgpt2,taobao,all-12-100-80,500000000,r13,712,14,1.97
vgpt2,taobao,all-12-100-80,500000000,r9,3844,21,0.55
vgpt2,taobao,all-12-100-80,500000000,r11,718,10,1.39
vgpt2,taobao,all-12-100-80,500000000,r7,1281,4,0.31
vgpt2,taobao,all-12-100-80,500000000,r12,601,6,1.0
vgpt2,taobao,all-12-100-80,500000000,r3,1716,8,0.47
vgpt2,taobao,all-12-100-80,500000000,r18,94,0,0.0
vgpt2,taobao,all-12-100-80,500000000,r17,76,1,1.32
vgpt2,taobao,all-12-100-80,500000000,r5,38,3,7.89
vgpt2,taobao,all-12-100-80,500000000,r16,54,0,0.0
vgpt2,taobao,all-12-100-80,500000000,r15,8,0,0.0
vgpt2,linkedin,all-12-100-80,500000000,r1,2278279,199135,8.74
vgpt2,linkedin,all-12-100-80,500000000,r2,2009333,192789,9.59
vgpt2,linkedin,all-12-100-80,500000000,r6,6112054,279142,4.57
vgpt2,linkedin,all-12-100-80,500000000,r10,4938674,259001,5.24
vgpt2,linkedin,all-12-100-80,500000000,r19,1014435,75356,7.43
vgpt2,linkedin,all-12-100-80,500000000,r7,130027,719,0.55
