model,train-dataset,test-settings,n_samples,length,matches,match_percentage
fla,gmail,all-12-100-80,500000000,12,5611896,1.12
fla,taobao,all-12-100-80,500000000,1,73,0.0
fla,taobao,all-12-100-80,500000000,2,291,0.0
fla,taobao,all-12-100-80,500000000,3,436,0.0
fla,taobao,all-12-100-80,500000000,4,598008,0.12
fla,taobao,all-12-100-80,500000000,5,1681383,0.34
fla,taobao,all-12-100-80,500000000,6,45612137,9.12
fla,taobao,all-12-100-80,500000000,7,60049158,12.01
fla,taobao,all-12-100-80,500000000,8,157131776,31.43
fla,taobao,all-12-100-80,500000000,9,110419728,22.08
fla,taobao,all-12-100-80,500000000,10,61578068,12.32
fla,taobao,all-12-100-80,500000000,11,36047723,7.21
fla,taobao,all-12-100-80,500000000,12,26881214,5.38
fla,linkedin,all-12-100-80,500000000,1,0,0.0
fla,linkedin,all-12-100-80,500000000,2,0,0.0
fla,linkedin,all-12-100-80,500000000,3,1,0.0
fla,linkedin,all-12-100-80,500000000,4,97152,0.02
fla,linkedin,all-12-100-80,500000000,5,125591,0.03
fla,linkedin,all-12-100-80,500000000,6,76828474,15.37
fla,linkedin,all-12-100-80,500000000,7,98918295,19.78
fla,linkedin,all-12-100-80,500000000,8,212126183,42.43
fla,linkedin,all-12-100-80,500000000,9,71528119,14.31
fla,linkedin,all-12-100-80,500000000,10,30466743,6.09
fla,linkedin,all-12-100-80,500000000,11,7818078,1.56
fla,linkedin,all-12-100-80,500000000,12,2091364,0.42
vgpt2,libero,all-12-100-80,500000000,1,3362,0.0
vgpt2,libero,all-12-100-80,500000000,2,979,0.0
vgpt2,libero,all-12-100-80,500000000,3,451,0.0
vgpt2,libero,all-12-100-80,500000000,4,395,0.0
vgpt2,libero,all-12-100-80,500000000,5,1338,0.0
vgpt2,libero,all-12-100-80,500000000,6,2630,0.0
vgpt2,libero,all-12-100-80,500000000,7,10394,0.0
vgpt2,libero,all-12-100-80,500000000,8,8870830,1.77
vgpt2,libero,all-12-100-80,500000000,9,283600112,56.72
vgpt2,libero,all-12-100-80,500000000,10,201901062,40.38
vgpt2,libero,all-12-100-80,500000000,11,5571199,1.11
vgpt2,libero,all-12-100-80,500000000,12,35591,0.01
vgpt2,000webhost,all-12-100-80,500000000,1,36043,0.01
vgpt2,000webhost,all-12-100-80,500000000,2,48462,0.01
vgpt2,000webhost,all-12-100-80,500000000,3,27962,0.01
vgpt2,000webhost,all-12-100-80,500000000,4,29175,0.01
vgpt2,000webhost,all-12-100-80,500000000,5,485553,0.1
vgpt2,000webhost,all-12-100-80,500000000,6,15027099,3.01
vgpt2,000webhost,all-12-100-80,500000000,7,49871320,9.98
vgpt2,000webhost,all-12-100-80,500000000,8,99969512,20.0
vgpt2,000webhost,all-12-100-80,500000000,9,98712858,19.75
vgpt2,000webhost,all-12-100-80,500000000,10,98657222,19.74
vgpt2,000webhost,all-12-100-80,500000000,11,83381711,16.69
vgpt2,000webhost,all-12-100-80,500000000,12,53477232,10.7
vgpt2,rockyou,all-12-100-80,500000000,1,42062,0.01
vgpt2,rockyou,all-12-100-80,500000000,2,14098,0.0
vgpt2,rockyou,all-12-100-80,500000000,3,31929,0.01
vgpt2,rockyou,all-12-100-80,500000000,4,389830,0.08
vgpt2,rockyou,all-12-100-80,500000000,5,8201678,1.64
vgpt2,rockyou,all-12-100-80,500000000,6,69281870,13.86
vgpt2,rockyou,all-12-100-80,500000000,7,101541312,20.31
vgpt2,rockyou,all-12-100-80,500000000,8,98816543,19.77
vgpt2,rockyou,all-12-100-80,500000000,9,95402188,19.08
vgpt2,rockyou,all-12-100-80,500000000,10,75033502,15.01
vgpt2,rockyou,all-12-100-80,500000000,11,36045881,7.21
vgpt2,rockyou,all-12-100-80,500000000,12,15089092,3.02
vgpt2,mailru,all-12-100-80,500000000,1,74261,0.01
vgpt2,mailru,all-12-100-80,500000000,2,12415,0.0
vgpt2,mailru,all-12-100-80,500000000,3,55543,0.01
vgpt2,mailru,all-12-100-80,500000000,4,600169,0.12
vgpt2,mailru,all-12-100-80,500000000,5,5119534,1.02
vgpt2,mailru,all-12-100-80,500000000,6,41465535,8.3
vgpt2,mailru,all-12-100-80,500000000,7,79812211,15.97
vgpt2,mailru,all-12-100-80,500000000,8,103749493,20.76
vgpt2,mailru,all-12-100-80,500000000,9,98723615,19.75
vgpt2,mailru,all-12-100-80,500000000,10,84445907,16.89
vgpt2,mailru,all-12-100-80,500000000,11,60383082,12.08
vgpt2,mailru,all-12-100-80,500000000,12,25386958,5.08
vgpt2,ashleymadison,all-12-100-80,500000000,1,9528,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,2,1475,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,3,494,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,4,1778,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,5,6532,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,6,113664,0.02
vgpt2,ashleymadison,all-12-100-80,500000000,7,18359223,3.67
vgpt2,ashleymadison,all-12-100-80,500000000,8,282508121,56.52
vgpt2,ashleymadison,all-12-100-80,500000000,9,183832310,36.78
vgpt2,ashleymadison,all-12-100-80,500000000,10,14760229,2.95
vgpt2,ashleymadison,all-12-100-80,500000000,11,237945,0.05
vgpt2,ashleymadison,all-12-100-80,500000000,12,20031,0.0
vgpt2,gmail,all-12-100-80,500000000,1,78163,0.02
vgpt2,gmail,all-12-100-80,500000000,2,26620,0.01
vgpt2,gmail,all-12-100-80,500000000,3,184564,0.04
vgpt2,gmail,all-12-100-80,500000000,4,1031126,0.21
vgpt2,gmail,all-12-100-80,500000000,5,7136537,1.43
vgpt2,gmail,all-12-100-80,500000000,6,49259786,9.85
vgpt2,gmail,all-12-100-80,500000000,7,82218001,16.45
vgpt2,gmail,all-12-100-80,500000000,8,113001639,22.61
vgpt2,gmail,all-12-100-80,500000000,9,110130138,22.03
vgpt2,gmail,all-12-100-80,500000000,10,90043355,18.01
vgpt2,gmail,all-12-100-80,500000000,11,36562020,7.31
vgpt2,gmail,all-12-100-80,500000000,12,10184911,2.04
vgpt2,taobao,all-12-100-80,500000000,1,29861,0.01
vgpt2,taobao,all-12-100-80,500000000,2,77530,0.02
vgpt2,taobao,all-12-100-80,500000000,3,79254,0.02
vgpt2,taobao,all-12-100-80,500000000,4,121288,0.02
vgpt2,taobao,all-12-100-80,500000000,5,1029873,0.21
vgpt2,taobao,all-12-100-80,500000000,6,31247163,6.26
vgpt2,taobao,all-12-100-80,500000000,7,79169929,15.85
vgpt2,taobao,all-12-100-80,500000000,8,80244835,16.06
vgpt2,taobao,all-12-100-80,500000000,9,86782380,17.37
vgpt2,taobao,all-12-100-80,500000000,10,99178630,19.86
vgpt2,taobao,all-12-100-80,500000000,11,81202546,16.26
vgpt2,taobao,all-12-100-80,500000000,12,40340338,8.08
vgpt2,linkedin,all-12-100-80,500000000,1,62363,0.01
vgpt2,linkedin,all-12-100-80,500000000,2,40519,0.01
vgpt2,linkedin,all-12-100-80,500000000,3,16094,0.0
vgpt2,linkedin,all-12-100-80,500000000,4,40986,0.01
vgpt2,linkedin,all-12-100-80,500000000,5,1452750,0.29
vgpt2,linkedin,all-12-100-80,500000000,6,51679935,10.35
vgpt2,linkedin,all-12-100-80,500000000,7,76516383,15.32
vgpt2,linkedin,all-12-100-80,500000000,8,130054537,26.04
vgpt2,linkedin,all-12-100-80,500000000,9,103525555,20.73
vgpt2,linkedin,all-12-100-80,500000000,10,74117985,14.84
vgpt2,linkedin,all-12-100-80,500000000,11,40436623,8.1
vgpt2,linkedin,all-12-100-80,500000000,12,21446265,4.29
real,libero,all-12-100-80,500000000,1,1,0.0
real,libero,all-12-100-80,500000000,2,3,0.0
real,libero,all-12-100-80,500000000,3,19,0.0
real,libero,all-12-100-80,500000000,4,118,0.02
real,libero,all-12-100-80,500000000,5,472,0.07
real,libero,all-12-100-80,500000000,6,103409,16.26
real,libero,all-12-100-80,500000000,7,75686,11.9
real,libero,all-12-100-80,500000000,8,208944,32.86
real,libero,all-12-100-80,500000000,9,109062,17.15
real,libero,all-12-100-80,500000000,10,75594,11.89
real,libero,all-12-100-80,500000000,11,36961,5.81
real,libero,all-12-100-80,500000000,12,25582,4.02
real,000webhost,all-12-100-80,500000000,1,2456,0.02
real,000webhost,all-12-100-80,500000000,2,2206,0.02
real,000webhost,all-12-100-80,500000000,3,977,0.01
real,000webhost,all-12-100-80,500000000,4,1016,0.01
real,000webhost,all-12-100-80,500000000,5,2697,0.02
real,000webhost,all-12-100-80,500000000,6,871949,6.83
real,000webhost,all-12-100-80,500000000,7,1212127,9.49
real,000webhost,all-12-100-80,500000000,8,3341152,26.16
real,000webhost,all-12-100-80,500000000,9,2352884,18.42
real,000webhost,all-12-100-80,500000000,10,2215008,17.34
real,000webhost,all-12-100-80,500000000,11,1600691,12.53
real,000webhost,all-12-100-80,500000000,12,1169599,9.16
real,rockyou,all-12-100-80,500000000,1,151,0.0
real,rockyou,all-12-100-80,500000000,2,1058,0.0
real,rockyou,all-12-100-80,500000000,3,6852,0.02
real,rockyou,all-12-100-80,500000000,4,71771,0.23
real,rockyou,all-12-100-80,500000000,5,1330486,4.23
real,rockyou,all-12-100-80,500000000,6,8496132,27.0
real,rockyou,all-12-100-80,500000000,7,6291586,20.0
real,rockyou,all-12-100-80,500000000,8,6517096,20.71
real,rockyou,all-12-100-80,500000000,9,3950231,12.55
real,rockyou,all-12-100-80,500000000,10,2954782,9.39
real,rockyou,all-12-100-80,500000000,11,1159456,3.69
real,rockyou,all-12-100-80,500000000,12,684032,2.17
real,mailru,all-12-100-80,500000000,1,6,0.0
real,mailru,all-12-100-80,500000000,2,5,0.0
real,mailru,all-12-100-80,500000000,3,717,0.02
real,mailru,all-12-100-80,500000000,4,28385,0.82
real,mailru,all-12-100-80,500000000,5,37039,1.07
real,mailru,all-12-100-80,500000000,6,852619,24.55
real,mailru,all-12-100-80,500000000,7,546552,15.74
real,mailru,all-12-100-80,500000000,8,890740,25.65
real,mailru,all-12-100-80,500000000,9,433472,12.48
real,mailru,all-12-100-80,500000000,10,327907,9.44
real,mailru,all-12-100-80,500000000,11,194386,5.6
real,mailru,all-12-100-80,500000000,12,160607,4.63
real,ashleymadison,all-12-100-80,500000000,1,21,0.01
real,ashleymadison,all-12-100-80,500000000,2,111,0.03
real,ashleymadison,all-12-100-80,500000000,3,846,0.23
real,ashleymadison,all-12-100-80,500000000,4,9201,2.48
real,ashleymadison,all-12-100-80,500000000,5,27284,7.34
real,ashleymadison,all-12-100-80,500000000,6,73571,19.8
real,ashleymadison,all-12-100-80,500000000,7,68212,18.35
real,ashleymadison,all-12-100-80,500000000,8,93474,25.15
real,ashleymadison,all-12-100-80,500000000,9,49665,13.36
real,ashleymadison,all-12-100-80,500000000,10,36317,9.77
real,ashleymadison,all-12-100-80,500000000,11,8214,2.21
real,ashleymadison,all-12-100-80,500000000,12,4733,1.27
real,gmail,all-12-100-80,500000000,1,614,0.01
real,gmail,all-12-100-80,500000000,2,1392,0.03
real,gmail,all-12-100-80,500000000,3,13003,0.27
real,gmail,all-12-100-80,500000000,4,45289,0.94
real,gmail,all-12-100-80,500000000,5,143000,2.96
real,gmail,all-12-100-80,500000000,6,920890,19.08
real,gmail,all-12-100-80,500000000,7,664540,13.77
real,gmail,all-12-100-80,500000000,8,1423172,29.49
real,gmail,all-12-100-80,500000000,9,683974,14.17
real,gmail,all-12-100-80,500000000,10,682897,14.15
real,gmail,all-12-100-80,500000000,11,153053,3.17
real,gmail,all-12-100-80,500000000,12,93481,1.94
real,taobao,all-12-100-80,500000000,1,1906,0.03
real,taobao,all-12-100-80,500000000,2,557,0.01
real,taobao,all-12-100-80,500000000,3,9083,0.13
real,taobao,all-12-100-80,500000000,4,12331,0.18
real,taobao,all-12-100-80,500000000,5,12340,0.18
real,taobao,all-12-100-80,500000000,6,968421,13.81
real,taobao,all-12-100-80,500000000,7,984099,14.03
real,taobao,all-12-100-80,500000000,8,1265888,18.05
real,taobao,all-12-100-80,500000000,9,1236765,17.63
real,taobao,all-12-100-80,500000000,10,1206484,17.2
real,taobao,all-12-100-80,500000000,11,806636,11.5
real,taobao,all-12-100-80,500000000,12,509110,7.26
real,linkedin,all-12-100-80,500000000,1,39,0.0
real,linkedin,all-12-100-80,500000000,2,11,0.0
real,linkedin,all-12-100-80,500000000,3,17,0.0
real,linkedin,all-12-100-80,500000000,4,224,0.0
real,linkedin,all-12-100-80,500000000,5,2573,0.01
real,linkedin,all-12-100-80,500000000,6,5425514,10.87
real,linkedin,all-12-100-80,500000000,7,6679209,13.38
real,linkedin,all-12-100-80,500000000,8,14918818,29.88
real,linkedin,all-12-100-80,500000000,9,8778117,17.58
real,linkedin,all-12-100-80,500000000,10,7606126,15.23
real,linkedin,all-12-100-80,500000000,11,3979507,7.97
real,linkedin,all-12-100-80,500000000,12,2539668,5.09
