model,train-dataset,test-settings,n_samples,length,matches,match_percentage
passgan,linkedin,all-12-100-80,500000000,8,152550520,30.51
passgan,linkedin,all-12-100-80,500000000,9,84979626,17.0
passgan,linkedin,all-12-100-80,500000000,10,66995988,13.4
passgan,linkedin,all-12-100-80,500000000,11,38017898,7.6
passgan,linkedin,all-12-100-80,500000000,12,20027536,4.01
plrgan,libero,all-12-100-80,500000000,1,13892,0.0
plrgan,libero,all-12-100-80,500000000,2,8803,0.0
plrgan,libero,all-12-100-80,500000000,3,14515,0.0
plrgan,libero,all-12-100-80,500000000,4,62832,0.01
plrgan,libero,all-12-100-80,500000000,5,224017,0.04
plrgan,libero,all-12-100-80,500000000,6,56160740,11.24
plrgan,libero,all-12-100-80,500000000,7,41916759,8.39
plrgan,libero,all-12-100-80,500000000,8,161443668,32.31
plrgan,libero,all-12-100-80,500000000,9,97204744,19.45
plrgan,libero,all-12-100-80,500000000,10,68913051,13.79
plrgan,libero,all-12-100-80,500000000,11,41251337,8.26
plrgan,libero,all-12-100-80,500000000,12,32467317,6.5
plrgan,000webhost,all-12-100-80,500000000,1,2350,0.0
plrgan,000webhost,all-12-100-80,500000000,2,7502,0.0
plrgan,000webhost,all-12-100-80,500000000,3,43165,0.01
plrgan,000webhost,all-12-100-80,500000000,4,111458,0.02
plrgan,000webhost,all-12-100-80,500000000,5,389568,0.08
plrgan,000webhost,all-12-100-80,500000000,6,26733289,5.35
plrgan,000webhost,all-12-100-80,500000000,7,42498293,8.5
plrgan,000webhost,all-12-100-80,500000000,8,130435658,26.09
plrgan,000webhost,all-12-100-80,500000000,9,88395672,17.68
plrgan,000webhost,all-12-100-80,500000000,10,89441254,17.89
plrgan,000webhost,all-12-100-80,500000000,11,71235055,14.25
plrgan,000webhost,all-12-100-80,500000000,12,50702208,10.14
plrgan,rockyou,all-12-100-80,500000000,1,381,0.0
plrgan,rockyou,all-12-100-80,500000000,2,7508,0.0
plrgan,rockyou,all-12-100-80,500000000,3,67673,0.01
plrgan,rockyou,all-12-100-80,500000000,4,691486,0.14
plrgan,rockyou,all-12-100-80,500000000,5,9427994,1.89
plrgan,rockyou,all-12-100-80,500000000,6,73752512,14.75
plrgan,rockyou,all-12-100-80,500000000,7,93051009,18.61
plrgan,rockyou,all-12-100-80,500000000,8,110078178,22.02
plrgan,rockyou,all-12-100-80,500000000,9,83123428,16.62
plrgan,rockyou,all-12-100-80,500000000,10,76181572,15.24
plrgan,rockyou,all-12-100-80,500000000,11,31874930,6.38
plrgan,rockyou,all-12-100-80,500000000,12,21735187,4.35
plrgan,mailru,all-12-100-80,500000000,1,154,0.0
plrgan,mailru,all-12-100-80,500000000,2,4405,0.0
plrgan,mailru,all-12-100-80,500000000,3,52258,0.01
plrgan,mailru,all-12-100-80,500000000,4,1737824,0.35
plrgan,mailru,all-12-100-80,500000000,5,4023884,0.8
plrgan,mailru,all-12-100-80,500000000,6,63935216,12.79
plrgan,mailru,all-12-100-80,500000000,7,77148203,15.43
