model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
passgpt,ashleymadison,all-12-100-80,500000000,r2,162740436,32.56
passgpt,ashleymadison,all-12-100-80,500000000,r3,5333020,1.07
passgpt,ashleymadison,all-12-100-80,500000000,r4,67376277,13.48
passgpt,ashleymadison,all-12-100-80,500000000,r5,48,0.0
passgpt,ashleymadison,all-12-100-80,500000000,r6,252306369,50.47
passgpt,ashleymadison,all-12-100-80,500000000,r7,2264396,0.45
passgpt,ashleymadison,all-12-100-80,500000000,r8,118331,0.02
passgpt,ashleymadison,all-12-100-80,500000000,r9,3195968,0.64
passgpt,ashleymadison,all-12-100-80,500000000,r10,208738579,41.76
passgpt,ashleymadison,all-12-100-80,500000000,r11,1255594,0.25
passgpt,ashleymadison,all-12-100-80,500000000,r12,4492045,0.9
passgpt,ashleymadison,all-12-100-80,500000000,r13,123739,0.02
passgpt,ashleymadison,all-12-100-80,500000000,r14,72163296,14.44
passgpt,ashleymadison,all-12-100-80,500000000,r15,173321,0.03
passgpt,ashleymadison,all-12-100-80,500000000,r16,4660,0.0
passgpt,ashleymadison,all-12-100-80,500000000,r17,295277,0.06
passgpt,ashleymadison,all-12-100-80,500000000,r18,186994,0.04
passgpt,ashleymadison,all-12-100-80,500000000,r19,51097911,10.22
passgpt,gmail,all-12-100-80,500000000,r1,136642221,27.33
passgpt,gmail,all-12-100-80,500000000,r2,136642221,27.33
passgpt,gmail,all-12-100-80,500000000,r3,0,0.0
passgpt,gmail,all-12-100-80,500000000,r4,80449696,16.09
passgpt,gmail,all-12-100-80,500000000,r5,132940,0.03
passgpt,gmail,all-12-100-80,500000000,r6,269266687,53.86
passgpt,gmail,all-12-100-80,500000000,r7,5425572,1.09
passgpt,gmail,all-12-100-80,500000000,r8,1075813,0.22
passgpt,gmail,all-12-100-80,500000000,r9,6976317,1.4
passgpt,gmail,all-12-100-80,500000000,r10,213253346,42.65
passgpt,gmail,all-12-100-80,500000000,r11,3986992,0.8
passgpt,gmail,all-12-100-80,500000000,r12,3618626,0.72
passgpt,gmail,all-12-100-80,500000000,r13,718422,0.14
passgpt,gmail,all-12-100-80,500000000,r14,88634664,17.73
passgpt,gmail,all-12-100-80,500000000,r15,322802,0.06
passgpt,gmail,all-12-100-80,500000000,r16,419835,0.08
passgpt,gmail,all-12-100-80,500000000,r17,391962,0.08
passgpt,gmail,all-12-100-80,500000000,r18,0,0.0
passgpt,gmail,all-12-100-80,500000000,r19,45858665,9.17
passgpt,taobao,all-12-100-80,500000000,r1,76514319,15.3
passgpt,taobao,all-12-100-80,500000000,r2,74985403,15.0
passgpt,taobao,all-12-100-80,500000000,r3,602657,0.12
passgpt,taobao,all-12-100-80,500000000,r4,100305380,20.06
passgpt,taobao,all-12-100-80,500000000,r5,10344,0.0
passgpt,taobao,all-12-100-80,500000000,r6,320404258,64.08
passgpt,taobao,all-12-100-80,500000000,r7,606442,0.12
passgpt,taobao,all-12-100-80,500000000,r8,303163,0.06
passgpt,taobao,all-12-100-80,500000000,r9,1841278,0.37
passgpt,taobao,all-12-100-80,500000000,r10,289701000,57.94
passgpt,taobao,all-12-100-80,500000000,r11,407237,0.08
passgpt,taobao,all-12-100-80,500000000,r12,223208,0.04
passgpt,taobao,all-12-100-80,500000000,r13,249003,0.05
passgpt,taobao,all-12-100-80,500000000,r14,103900383,20.78
passgpt,taobao,all-12-100-80,500000000,r15,6739,0.0
passgpt,taobao,all-12-100-80,500000000,r16,16045,0.0
passgpt,taobao,all-12-100-80,500000000,r17,33001,0.01
passgpt,taobao,all-12-100-80,500000000,r18,35638,0.01
passgpt,taobao,all-12-100-80,500000000,r19,48370527,9.67
passgpt,linkedin,all-12-100-80,500000000,r1,110463690,22.09
passgpt,linkedin,all-12-100-80,500000000,r2,97001730,19.4
passgpt,linkedin,all-12-100-80,500000000,r3,4445693,0.89
passgpt,linkedin,all-12-100-80,500000000,r4,44143583,8.83
passgpt,linkedin,all-12-100-80,500000000,r5,32689,0.01
passgpt,linkedin,all-12-100-80,500000000,r6,308223847,61.65
passgpt,linkedin,all-12-100-80,500000000,r7,6785870,1.36
passgpt,linkedin,all-12-100-80,500000000,r8,1006193,0.2
passgpt,linkedin,all-12-100-80,500000000,r9,29325447,5.87
passgpt,linkedin,all-12-100-80,500000000,r10,251494622,50.3
passgpt,linkedin,all-12-100-80,500000000,r11,11813238,2.36
passgpt,linkedin,all-12-100-80,500000000,r12,3679961,0.74
passgpt,linkedin,all-12-100-80,500000000,r13,1454648,0.29
passgpt,linkedin,all-12-100-80,500000000,r14,53449756,10.69
passgpt,linkedin,all-12-100-80,500000000,r15,304909,0.06
passgpt,linkedin,all-12-100-80,500000000,r16,989543,0.2
passgpt,linkedin,all-12-100-80,500000000,r17,1399481,0.28
passgpt,linkedin,all-12-100-80,500000000,r18,4839326,0.97
passgpt,linkedin,all-12-100-80,500000000,r19,50511045,10.1
passflow,libero,all-12-100-80,500000000,r1,23282767,4.66
passflow,libero,all-12-100-80,500000000,r2,11742591,2.35
passflow,libero,all-12-100-80,500000000,r3,96073,0.02
passflow,libero,all-12-100-80,500000000,r4,630826,0.13
passflow,libero,all-12-100-80,500000000,r5,160,0.0
passflow,libero,all-12-100-80,500000000,r6,440897993,88.18
passflow,libero,all-12-100-80,500000000,r7,3499554,0.7
passflow,libero,all-12-100-80,500000000,r8,102734,0.02
passflow,libero,all-12-100-80,500000000,r9,31585966,6.32
passflow,libero,all-12-100-80,500000000,r10,118814201,23.76
passflow,libero,all-12-100-80,500000000,r11,1484852,0.3
passflow,libero,all-12-100-80,500000000,r12,8460892,1.69
passflow,libero,all-12-100-80,500000000,r13,402197,0.08
passflow,libero,all-12-100-80,500000000,r14,58533309,11.71
passflow,libero,all-12-100-80,500000000,r15,751607,0.15
passflow,libero,all-12-100-80,500000000,r16,235578,0.05
passflow,libero,all-12-100-80,500000000,r17,3498313,0.7
passflow,libero,all-12-100-80,500000000,r18,210683,0.04
passflow,libero,all-12-100-80,500000000,r19,37318076,7.46
passflow,000webhost,all-12-100-80,500000000,r1,13213717,2.64
passflow,000webhost,all-12-100-80,500000000,r2,8735934,1.75
passflow,000webhost,all-12-100-80,500000000,r3,1443,0.0
passflow,000webhost,all-12-100-80,500000000,r4,491084,0.1
passflow,000webhost,all-12-100-80,500000000,r5,102,0.0
passflow,000webhost,all-12-100-80,500000000,r6,439569355,87.91
passflow,000webhost,all-12-100-80,500000000,r7,2347863,0.47
passflow,000webhost,all-12-100-80,500000000,r8,64896,0.01
passflow,000webhost,all-12-100-80,500000000,r9,44312981,8.86
passflow,000webhost,all-12-100-80,500000000,r10,186718613,37.34
passflow,000webhost,all-12-100-80,500000000,r11,2607292,0.52
passflow,000webhost,all-12-100-80,500000000,r12,4816940,0.96
passflow,000webhost,all-12-100-80,500000000,r13,1082815,0.22
passflow,000webhost,all-12-100-80,500000000,r14,67488015,13.5
passflow,000webhost,all-12-100-80,500000000,r15,340285,0.07
passflow,000webhost,all-12-100-80,500000000,r16,226703,0.05
passflow,000webhost,all-12-100-80,500000000,r17,5135154,1.03
passflow,000webhost,all-12-100-80,500000000,r18,192100,0.04
passflow,000webhost,all-12-100-80,500000000,r19,90895488,18.18
passflow,rockyou,all-12-100-80,500000000,r1,65931039,13.19
passflow,rockyou,all-12-100-80,500000000,r2,51092700,10.22
passflow,rockyou,all-12-100-80,500000000,r3,592030,0.12
passflow,rockyou,all-12-100-80,500000000,r4,6106743,1.22
passflow,rockyou,all-12-100-80,500000000,r5,7,0.0
passflow,rockyou,all-12-100-80,500000000,r6,383362806,76.67
passflow,rockyou,all-12-100-80,500000000,r7,3232622,0.65
passflow,rockyou,all-12-100-80,500000000,r8,1816677,0.36
passflow,rockyou,all-12-100-80,500000000,r9,39550106,7.91
passflow,rockyou,all-12-100-80,500000000,r10,144011224,28.8
passflow,rockyou,all-12-100-80,500000000,r11,2629018,0.53
passflow,rockyou,all-12-100-80,500000000,r12,10949115,2.19
passflow,rockyou,all-12-100-80,500000000,r13,698787,0.14
passflow,rockyou,all-12-100-80,500000000,r14,65147186,13.03
passflow,rockyou,all-12-100-80,500000000,r15,591266,0.12
passflow,rockyou,all-12-100-80,500000000,r16,36538,0.01
passflow,rockyou,all-12-100-80,500000000,r17,787019,0.16
passflow,rockyou,all-12-100-80,500000000,r18,487206,0.1
passflow,rockyou,all-12-100-80,500000000,r19,63722764,12.74
passflow,mailru,all-12-100-80,500000000,r1,36984887,7.4
passflow,mailru,all-12-100-80,500000000,r2,26088236,5.22
passflow,mailru,all-12-100-80,500000000,r3,47336,0.01
passflow,mailru,all-12-100-80,500000000,r4,32938554,6.59
passflow,mailru,all-12-100-80,500000000,r5,13,0.0
passflow,mailru,all-12-100-80,500000000,r6,371227320,74.25
passflow,mailru,all-12-100-80,500000000,r7,1922649,0.38
passflow,mailru,all-12-100-80,500000000,r8,18107605,3.62
passflow,mailru,all-12-100-80,500000000,r9,38818971,7.76
passflow,mailru,all-12-100-80,500000000,r10,153711232,30.74
passflow,mailru,all-12-100-80,500000000,r11,1087063,0.22
passflow,mailru,all-12-100-80,500000000,r12,2530452,0.51
passflow,mailru,all-12-100-80,500000000,r13,669742,0.13
passflow,mailru,all-12-100-80,500000000,r14,135909884,27.18
passflow,mailru,all-12-100-80,500000000,r15,156640,0.03
passflow,mailru,all-12-100-80,500000000,r16,71455,0.01
passflow,mailru,all-12-100-80,500000000,r17,692878,0.14
passflow,mailru,all-12-100-80,500000000,r18,116287,0.02
passflow,mailru,all-12-100-80,500000000,r19,110086029,22.02
passflow,ashleymadison,all-12-100-80,500000000,r1,46783999,9.36
passflow,ashleymadison,all-12-100-80,500000000,r2,33349818,6.67
passflow,ashleymadison,all-12-100-80,500000000,r3,251708,0.05
passflow,ashleymadison,all-12-100-80,500000000,r4,535380,0.11
passflow,ashleymadison,all-12-100-80,500000000,r5,4260,0.0
passflow,ashleymadison,all-12-100-80,500000000,r6,419982132,84.0
passflow,ashleymadison,all-12-100-80,500000000,r7,1311844,0.26
passflow,ashleymadison,all-12-100-80,500000000,r8,223261,0.04
passflow,ashleymadison,all-12-100-80,500000000,r9,31159124,6.23
passflow,ashleymadison,all-12-100-80,500000000,r10,113564540,22.71
passflow,ashleymadison,all-12-100-80,500000000,r11,218723,0.04
passflow,ashleymadison,all-12-100-80,500000000,r12,18788026,3.76
passflow,ashleymadison,all-12-100-80,500000000,r13,38067,0.01
passflow,ashleymadison,all-12-100-80,500000000,r14,50994704,10.2
passflow,ashleymadison,all-12-100-80,500000000,r15,273094,0.05
passflow,ashleymadison,all-12-100-80,500000000,r16,46040,0.01
passflow,ashleymadison,all-12-100-80,500000000,r17,1313369,0.26
passflow,ashleymadison,all-12-100-80,500000000,r18,36862,0.01
passflow,ashleymadison,all-12-100-80,500000000,r19,46922883,9.38
passflow,gmail,all-12-100-80,500000000,r1,31542695,6.31
passflow,gmail,all-12-100-80,500000000,r2,31542695,6.31
passflow,gmail,all-12-100-80,500000000,r3,0,0.0
passflow,gmail,all-12-100-80,500000000,r4,1288818,0.26
passflow,gmail,all-12-100-80,500000000,r5,45713,0.01
passflow,gmail,all-12-100-80,500000000,r6,381860473,76.37
passflow,gmail,all-12-100-80,500000000,r7,6107094,1.22
passflow,gmail,all-12-100-80,500000000,r8,541015,0.11
passflow,gmail,all-12-100-80,500000000,r9,78614190,15.72
passflow,gmail,all-12-100-80,500000000,r10,116376938,23.28
passflow,gmail,all-12-100-80,500000000,r11,5193004,1.04
passflow,gmail,all-12-100-80,500000000,r12,14281888,2.86
passflow,gmail,all-12-100-80,500000000,r13,2568133,0.51
passflow,gmail,all-12-100-80,500000000,r14,63118668,12.62
passflow,gmail,all-12-100-80,500000000,r15,830263,0.17
passflow,gmail,all-12-100-80,500000000,r16,637050,0.13
passflow,gmail,all-12-100-80,500000000,r17,4559467,0.91
passflow,gmail,all-12-100-80,500000000,r18,0,0.0
passflow,gmail,all-12-100-80,500000000,r19,56340489,11.27
passflow,taobao,all-12-100-80,500000000,r1,43370614,8.67
passflow,taobao,all-12-100-80,500000000,r2,39731067,7.95
passflow,taobao,all-12-100-80,500000000,r3,2592,0.0
passflow,taobao,all-12-100-80,500000000,r4,127639322,25.53
passflow,taobao,all-12-100-80,500000000,r5,49,0.0
passflow,taobao,all-12-100-80,500000000,r6,280706575,56.14
passflow,taobao,all-12-100-80,500000000,r7,286843,0.06
passflow,taobao,all-12-100-80,500000000,r8,30041033,6.01
passflow,taobao,all-12-100-80,500000000,r9,17955562,3.59
passflow,taobao,all-12-100-80,500000000,r10,239787765,47.96
passflow,taobao,all-12-100-80,500000000,r11,223766,0.04
passflow,taobao,all-12-100-80,500000000,r12,1674771,0.33
passflow,taobao,all-12-100-80,500000000,r13,63357,0.01
passflow,taobao,all-12-100-80,500000000,r14,180441403,36.09
passflow,taobao,all-12-100-80,500000000,r15,22359,0.0
passflow,taobao,all-12-100-80,500000000,r16,46095,0.01
passflow,taobao,all-12-100-80,500000000,r17,2980414,0.6
passflow,taobao,all-12-100-80,500000000,r18,16171,0.0
passflow,taobao,all-12-100-80,500000000,r19,119207774,23.84
passflow,linkedin,all-12-100-80,500000000,r1,42503127,8.5
passflow,linkedin,all-12-100-80,500000000,r2,34141395,6.83
passflow,linkedin,all-12-100-80,500000000,r3,531,0.0
passflow,linkedin,all-12-100-80,500000000,r4,832959,0.17
passflow,linkedin,all-12-100-80,500000000,r5,1,0.0
passflow,linkedin,all-12-100-80,500000000,r6,432381031,86.48
passflow,linkedin,all-12-100-80,500000000,r7,1149248,0.23
passflow,linkedin,all-12-100-80,500000000,r8,108686,0.02
passflow,linkedin,all-12-100-80,500000000,r9,23024948,4.6
passflow,linkedin,all-12-100-80,500000000,r10,143762898,28.75
passflow,linkedin,all-12-100-80,500000000,r11,1927176,0.39
passflow,linkedin,all-12-100-80,500000000,r12,5420345,1.08
passflow,linkedin,all-12-100-80,500000000,r13,518300,0.1
passflow,linkedin,all-12-100-80,500000000,r14,40151994,8.03
passflow,linkedin,all-12-100-80,500000000,r15,92449,0.02
passflow,linkedin,all-12-100-80,500000000,r16,19666,0.0
passflow,linkedin,all-12-100-80,500000000,r17,545555,0.11
passflow,linkedin,all-12-100-80,500000000,r18,460469,0.09
passflow,linkedin,all-12-100-80,500000000,r19,60760956,12.15
fla,libero,all-12-100-80,500000000,r1,162009475,32.4
fla,libero,all-12-100-80,500000000,r2,135835182,27.17
fla,libero,all-12-100-80,500000000,r3,11762539,2.35
fla,libero,all-12-100-80,500000000,r4,66771217,13.35
fla,libero,all-12-100-80,500000000,r5,103,0.0
fla,libero,all-12-100-80,500000000,r6,259854527,51.97
fla,libero,all-12-100-80,500000000,r7,3764316,0.75
fla,libero,all-12-100-80,500000000,r8,815876,0.16
fla,libero,all-12-100-80,500000000,r9,6784486,1.36
fla,libero,all-12-100-80,500000000,r10,227973491,45.59
fla,libero,all-12-100-80,500000000,r11,3471179,0.69
fla,libero,all-12-100-80,500000000,r12,1782772,0.36
fla,libero,all-12-100-80,500000000,r13,418645,0.08
fla,libero,all-12-100-80,500000000,r14,76611130,15.32
fla,libero,all-12-100-80,500000000,r15,404025,0.08
fla,libero,all-12-100-80,500000000,r16,69260,0.01
fla,libero,all-12-100-80,500000000,r17,482907,0.1
fla,libero,all-12-100-80,500000000,r18,873513,0.17
fla,libero,all-12-100-80,500000000,r19,35151473,7.03
fla,000webhost,all-12-100-80,500000000,r1,1126431,0.19
fla,000webhost,all-12-100-80,500000000,r2,1032477,0.17
fla,000webhost,all-12-100-80,500000000,r3,10174,0.0
fla,000webhost,all-12-100-80,500000000,r4,293077,0.05
fla,000webhost,all-12-100-80,500000000,r5,13652,0.0
fla,000webhost,all-12-100-80,500000000,r6,564382154,95.21
fla,000webhost,all-12-100-80,500000000,r7,4941169,0.83
fla,000webhost,all-12-100-80,500000000,r8,2604546,0.44
fla,000webhost,all-12-100-80,500000000,r9,19414939,3.28
fla,000webhost,all-12-100-80,500000000,r10,496539114,83.77
fla,000webhost,all-12-100-80,500000000,r11,8453483,1.43
fla,000webhost,all-12-100-80,500000000,r12,3043938,0.51
fla,000webhost,all-12-100-80,500000000,r13,2294865,0.39
fla,000webhost,all-12-100-80,500000000,r14,8195369,1.38
fla,000webhost,all-12-100-80,500000000,r15,29850,0.01
fla,000webhost,all-12-100-80,500000000,r16,37338,0.01
fla,000webhost,all-12-100-80,500000000,r17,62158,0.01
fla,000webhost,all-12-100-80,500000000,r18,1971107,0.33
fla,000webhost,all-12-100-80,500000000,r19,90194306,15.22
fla,rockyou,all-12-100-80,500000000,r1,126025331,25.21
fla,rockyou,all-12-100-80,500000000,r2,113866699,22.77
fla,rockyou,all-12-100-80,500000000,r3,7224144,1.44
fla,rockyou,all-12-100-80,500000000,r4,152868634,30.57
fla,rockyou,all-12-100-80,500000000,r5,28846,0.01
fla,rockyou,all-12-100-80,500000000,r6,206571405,41.31
fla,rockyou,all-12-100-80,500000000,r7,7475623,1.5
fla,rockyou,all-12-100-80,500000000,r8,918823,0.18
fla,rockyou,all-12-100-80,500000000,r9,6111336,1.22
fla,rockyou,all-12-100-80,500000000,r10,178709578,35.74
fla,rockyou,all-12-100-80,500000000,r11,5142189,1.03
fla,rockyou,all-12-100-80,500000000,r12,4293696,0.86
fla,rockyou,all-12-100-80,500000000,r13,379884,0.08
fla,rockyou,all-12-100-80,500000000,r14,156029542,31.21
fla,rockyou,all-12-100-80,500000000,r15,210752,0.04
fla,rockyou,all-12-100-80,500000000,r16,617244,0.12
fla,rockyou,all-12-100-80,500000000,r17,105826,0.02
fla,rockyou,all-12-100-80,500000000,r18,2337588,0.47
fla,rockyou,all-12-100-80,500000000,r19,45892168,9.18
fla,mailru,all-12-100-80,500000000,r1,115961901,23.19
fla,mailru,all-12-100-80,500000000,r2,107661160,21.53
fla,mailru,all-12-100-80,500000000,r3,1454053,0.29
fla,mailru,all-12-100-80,500000000,r4,34047479,6.81
fla,mailru,all-12-100-80,500000000,r5,2460,0.0
fla,mailru,all-12-100-80,500000000,r6,339912588,67.98
fla,mailru,all-12-100-80,500000000,r7,2607697,0.52
fla,mailru,all-12-100-80,500000000,r8,3003048,0.6
fla,mailru,all-12-100-80,500000000,r9,4464827,0.89
fla,mailru,all-12-100-80,500000000,r10,203355518,40.67
fla,mailru,all-12-100-80,500000000,r11,660859,0.13
fla,mailru,all-12-100-80,500000000,r12,983948,0.2
fla,mailru,all-12-100-80,500000000,r13,1067528,0.21
fla,mailru,all-12-100-80,500000000,r14,51285465,10.26
fla,mailru,all-12-100-80,500000000,r15,147458,0.03
fla,mailru,all-12-100-80,500000000,r16,250018,0.05
fla,mailru,all-12-100-80,500000000,r17,447883,0.09
fla,mailru,all-12-100-80,500000000,r18,171586,0.03
fla,mailru,all-12-100-80,500000000,r19,34501150,6.9
fla,ashleymadison,all-12-100-80,500000000,r1,149851652,29.97
fla,ashleymadison,all-12-100-80,500000000,r2,136723331,27.34
fla,ashleymadison,all-12-100-80,500000000,r3,6151939,1.23
fla,ashleymadison,all-12-100-80,500000000,r4,43072035,8.61
fla,ashleymadison,all-12-100-80,500000000,r5,1787,0.0
fla,ashleymadison,all-12-100-80,500000000,r6,305372532,61.07
fla,ashleymadison,all-12-100-80,500000000,r7,647869,0.13
fla,ashleymadison,all-12-100-80,500000000,r8,160719,0.03
fla,ashleymadison,all-12-100-80,500000000,r9,893406,0.18
fla,ashleymadison,all-12-100-80,500000000,r10,242273556,48.45
fla,ashleymadison,all-12-100-80,500000000,r11,583221,0.12
fla,ashleymadison,all-12-100-80,500000000,r12,5446725,1.09
fla,ashleymadison,all-12-100-80,500000000,r13,85815,0.02
fla,ashleymadison,all-12-100-80,500000000,r14,49419268,9.88
fla,ashleymadison,all-12-100-80,500000000,r15,98022,0.02
fla,ashleymadison,all-12-100-80,500000000,r16,1910,0.0
fla,ashleymadison,all-12-100-80,500000000,r17,74712,0.01
fla,ashleymadison,all-12-100-80,500000000,r18,129138,0.03
fla,ashleymadison,all-12-100-80,500000000,r19,42945026,8.59
fla,gmail,all-12-100-80,500000000,r1,166686760,33.34
fla,gmail,all-12-100-80,500000000,r2,166686760,33.34
fla,gmail,all-12-100-80,500000000,r3,0,0.0
fla,gmail,all-12-100-80,500000000,r4,85934379,17.19
fla,gmail,all-12-100-80,500000000,r5,26900,0.01
fla,gmail,all-12-100-80,500000000,r6,240086257,48.02
fla,gmail,all-12-100-80,500000000,r7,3077316,0.62
fla,gmail,all-12-100-80,500000000,r8,736659,0.15
fla,gmail,all-12-100-80,500000000,r9,3451729,0.69
fla,gmail,all-12-100-80,500000000,r10,201326261,40.27
fla,gmail,all-12-100-80,500000000,r11,2503485,0.5
fla,gmail,all-12-100-80,500000000,r12,3680379,0.74
fla,gmail,all-12-100-80,500000000,r13,346709,0.07
fla,gmail,all-12-100-80,500000000,r14,91013827,18.2
fla,gmail,all-12-100-80,500000000,r15,210144,0.04
fla,gmail,all-12-100-80,500000000,r16,114113,0.02
fla,gmail,all-12-100-80,500000000,r17,190884,0.04
fla,gmail,all-12-100-80,500000000,r18,0,0.0
fla,gmail,all-12-100-80,500000000,r19,46577204,9.32
fla,taobao,all-12-100-80,500000000,r1,92379181,18.48
fla,taobao,all-12-100-80,500000000,r2,91553760,18.31
fla,taobao,all-12-100-80,500000000,r3,508345,0.1
fla,taobao,all-12-100-80,500000000,r4,122195883,24.44
fla,taobao,all-12-100-80,500000000,r5,6404,0.0
fla,taobao,all-12-100-80,500000000,r6,283290961,56.66
fla,taobao,all-12-100-80,500000000,r7,501771,0.1
fla,taobao,all-12-100-80,500000000,r8,251211,0.05
fla,taobao,all-12-100-80,500000000,r9,1374584,0.27
fla,taobao,all-12-100-80,500000000,r10,262804310,52.56
fla,taobao,all-12-100-80,500000000,r11,310286,0.06
fla,taobao,all-12-100-80,500000000,r12,176958,0.04
fla,taobao,all-12-100-80,500000000,r13,174631,0.03
fla,taobao,all-12-100-80,500000000,r14,124503138,24.9
fla,taobao,all-12-100-80,500000000,r15,8531,0.0
fla,taobao,all-12-100-80,500000000,r16,8859,0.0
fla,taobao,all-12-100-80,500000000,r17,34189,0.01
fla,taobao,all-12-100-80,500000000,r18,25334,0.01
fla,taobao,all-12-100-80,500000000,r19,58599651,11.72
fla,linkedin,all-12-100-80,500000000,r1,119912926,23.98
fla,linkedin,all-12-100-80,500000000,r2,108354497,21.67
fla,linkedin,all-12-100-80,500000000,r3,4159425,0.83
fla,linkedin,all-12-100-80,500000000,r4,73850241,14.77
fla,linkedin,all-12-100-80,500000000,r5,6526,0.0
fla,linkedin,all-12-100-80,500000000,r6,293531837,58.71
fla,linkedin,all-12-100-80,500000000,r7,2193222,0.44
fla,linkedin,all-12-100-80,500000000,r8,486182,0.1
fla,linkedin,all-12-100-80,500000000,r9,10019066,2.0
fla,linkedin,all-12-100-80,500000000,r10,259574595,51.91
fla,linkedin,all-12-100-80,500000000,r11,4675645,0.94
fla,linkedin,all-12-100-80,500000000,r12,2760775,0.55
fla,linkedin,all-12-100-80,500000000,r13,311166,0.06
fla,linkedin,all-12-100-80,500000000,r14,77744971,15.55
fla,linkedin,all-12-100-80,500000000,r15,128354,0.03
fla,linkedin,all-12-100-80,500000000,r16,105776,0.02
fla,linkedin,all-12-100-80,500000000,r17,210272,0.04
fla,linkedin,all-12-100-80,500000000,r18,2150590,0.43
fla,linkedin,all-12-100-80,500000000,r19,58986349,11.8
vgpt2,libero,all-12-100-80,500000000,r1,40854777,8.17
vgpt2,libero,all-12-100-80,500000000,r2,5174830,1.03
vgpt2,libero,all-12-100-80,500000000,r3,274,0.0
vgpt2,libero,all-12-100-80,500000000,r4,27168,0.01
vgpt2,libero,all-12-100-80,500000000,r5,28,0.0
vgpt2,libero,all-12-100-80,500000000,r6,384883279,76.98
vgpt2,libero,all-12-100-80,500000000,r7,10814165,2.16
vgpt2,libero,all-12-100-80,500000000,r8,12612,0.0
vgpt2,libero,all-12-100-80,500000000,r9,63406321,12.68
vgpt2,libero,all-12-100-80,500000000,r10,226776805,45.36
vgpt2,libero,all-12-100-80,500000000,r11,13352053,2.67
vgpt2,libero,all-12-100-80,500000000,r12,2072996,0.41
vgpt2,libero,all-12-100-80,500000000,r13,1425949,0.29
vgpt2,libero,all-12-100-80,500000000,r14,21398819,4.28
vgpt2,libero,all-12-100-80,500000000,r15,2140305,0.43
vgpt2,libero,all-12-100-80,500000000,r16,959835,0.19
vgpt2,libero,all-12-100-80,500000000,r17,14724472,2.94
vgpt2,libero,all-12-100-80,500000000,r18,2596715,0.52
vgpt2,libero,all-12-100-80,500000000,r19,38484814,7.7
vgpt2,000webhost,all-12-100-80,500000000,r1,10644502,2.13
vgpt2,000webhost,all-12-100-80,500000000,r2,6413612,1.28
vgpt2,000webhost,all-12-100-80,500000000,r3,8480,0.0
vgpt2,000webhost,all-12-100-80,500000000,r4,1084348,0.22
vgpt2,000webhost,all-12-100-80,500000000,r5,637,0.0
vgpt2,000webhost,all-12-100-80,500000000,r6,417458208,83.49
vgpt2,000webhost,all-12-100-80,500000000,r7,3963410,0.79
vgpt2,000webhost,all-12-100-80,500000000,r8,266444,0.05
vgpt2,000webhost,all-12-100-80,500000000,r9,66575641,13.32
vgpt2,000webhost,all-12-100-80,500000000,r10,312099222,62.42
vgpt2,000webhost,all-12-100-80,500000000,r11,12479503,2.5
vgpt2,000webhost,all-12-100-80,500000000,r12,2164767,0.43
vgpt2,000webhost,all-12-100-80,500000000,r13,3075083,0.62
vgpt2,000webhost,all-12-100-80,500000000,r14,38917644,7.78
vgpt2,000webhost,all-12-100-80,500000000,r15,76907,0.02
vgpt2,000webhost,all-12-100-80,500000000,r16,137396,0.03
vgpt2,000webhost,all-12-100-80,500000000,r17,1397654,0.28
vgpt2,000webhost,all-12-100-80,500000000,r18,2379477,0.48
vgpt2,000webhost,all-12-100-80,500000000,r19,64917663,12.98
vgpt2,rockyou,all-12-100-80,500000000,r1,98437735,19.69
vgpt2,rockyou,all-12-100-80,500000000,r2,79840651,15.97
vgpt2,rockyou,all-12-100-80,500000000,r3,1571132,0.31
vgpt2,rockyou,all-12-100-80,500000000,r4,28497644,5.7
vgpt2,rockyou,all-12-100-80,500000000,r5,1816,0.0
vgpt2,rockyou,all-12-100-80,500000000,r6,300791196,60.16
vgpt2,rockyou,all-12-100-80,500000000,r7,18908942,3.78
vgpt2,rockyou,all-12-100-80,500000000,r8,2109355,0.42
vgpt2,rockyou,all-12-100-80,500000000,r9,51244800,10.25
vgpt2,rockyou,all-12-100-80,500000000,r10,191385092,38.28
vgpt2,rockyou,all-12-100-80,500000000,r11,16957481,3.39
vgpt2,rockyou,all-12-100-80,500000000,r12,5849003,1.17
vgpt2,rockyou,all-12-100-80,500000000,r13,3810954,0.76
vgpt2,rockyou,all-12-100-80,500000000,r14,68511362,13.7
vgpt2,rockyou,all-12-100-80,500000000,r15,847875,0.17
vgpt2,rockyou,all-12-100-80,500000000,r16,439137,0.09
vgpt2,rockyou,all-12-100-80,500000000,r17,2002917,0.4
vgpt2,rockyou,all-12-100-80,500000000,r18,4451559,0.89
vgpt2,rockyou,all-12-100-80,500000000,r19,42745199,8.55
vgpt2,mailru,all-12-100-80,500000000,r1,36659462,7.33
vgpt2,mailru,all-12-100-80,500000000,r2,21855130,4.37
vgpt2,mailru,all-12-100-80,500000000,r3,31740,0.01
vgpt2,mailru,all-12-100-80,500000000,r4,24848925,4.97
vgpt2,mailru,all-12-100-80,500000000,r5,1972,0.0
vgpt2,mailru,all-12-100-80,500000000,r6,404674183,80.94
vgpt2,mailru,all-12-100-80,500000000,r7,2983780,0.6
vgpt2,mailru,all-12-100-80,500000000,r8,1676763,0.34
vgpt2,mailru,all-12-100-80,500000000,r9,29122708,5.82
