model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
passgan,rockyou,all-12-100-80,500000000,r8,2709225,0.54
passgan,rockyou,all-12-100-80,500000000,r9,14912465,2.98
passgan,rockyou,all-12-100-80,500000000,r10,178132916,35.63
passgan,rockyou,all-12-100-80,500000000,r11,4097557,0.82
passgan,rockyou,all-12-100-80,500000000,r12,1519462,0.3
passgan,rockyou,all-12-100-80,500000000,r13,343890,0.07
passgan,rockyou,all-12-100-80,500000000,r14,124663808,24.94
passgan,rockyou,all-12-100-80,500000000,r15,2768918,0.55
passgan,rockyou,all-12-100-80,500000000,r16,235493,0.05
passgan,rockyou,all-12-100-80,500000000,r17,6628244,1.33
passgan,rockyou,all-12-100-80,500000000,r18,0,0.0
passgan,rockyou,all-12-100-80,500000000,r19,53567290,10.71
passgan,mailru,all-12-100-80,500000000,r1,91974910,18.4
passgan,mailru,all-12-100-80,500000000,r2,74776090,14.96
passgan,mailru,all-12-100-80,500000000,r3,331450,0.07
passgan,mailru,all-12-100-80,500000000,r4,100358205,20.08
passgan,mailru,all-12-100-80,500000000,r5,637,0.0
passgan,mailru,all-12-100-80,500000000,r6,272722135,54.56
passgan,mailru,all-12-100-80,500000000,r7,7784028,1.56
passgan,mailru,all-12-100-80,500000000,r8,4741327,0.95
passgan,mailru,all-12-100-80,500000000,r9,22281097,4.46
passgan,mailru,all-12-100-80,500000000,r10,158041129,31.62
passgan,mailru,all-12-100-80,500000000,r11,4288520,0.86
passgan,mailru,all-12-100-80,500000000,r12,2129140,0.43
passgan,mailru,all-12-100-80,500000000,r13,3456512,0.69
passgan,mailru,all-12-100-80,500000000,r14,120993403,24.21
passgan,mailru,all-12-100-80,500000000,r15,2365764,0.47
passgan,mailru,all-12-100-80,500000000,r16,363095,0.07
passgan,mailru,all-12-100-80,500000000,r17,4629012,0.93
passgan,mailru,all-12-100-80,500000000,r18,0,0.0
passgan,mailru,all-12-100-80,500000000,r19,32412544,6.48
passgan,ashleymadison,all-12-100-80,500000000,r1,196376666,39.29
passgan,ashleymadison,all-12-100-80,500000000,r2,187911765,37.59
