model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
plrgan,taobao,all-12-4710736-80,NONE,NONE,500000000,204757,16.82%
passflow,rockyou,all-12-850000-80,NONE,NONE,500000000,620294,18.21%
passflow,rockyou,all-12-1785681-80,NONE,NONE,500000000,625248,18.35%
passflow,rockyou,all-12-2700000-80,NONE,NONE,500000000,658105,19.32%
passflow,rockyou,all-12-4710736-80,NONE,NONE,500000000,659093,19.35%
passflow,rockyou,all-12-11802325-80,NONE,NONE,500000000,628891,18.46%
passflow,linkedin,all-12-850000-80,NONE,NONE,500000000,705643,7.06%
passflow,linkedin,all-12-1785681-80,NONE,NONE,500000000,711348,7.12%
passflow,linkedin,all-12-2700000-80,NONE,NONE,500000000,687603,6.88%
passflow,linkedin,all-12-4710736-80,NONE,NONE,500000000,683869,6.84%
passflow,linkedin,all-12-11802325-80,NONE,NONE,500000000,699173,7.00%
passflow,linkedin,all-12-20000000-80,NONE,NONE,500000000,712026,7.13%
passflow,linkedin,all-12-40000000-80,NONE,NONE,500000000,709158,7.10%
passflow,mailru,all-12-850000-80,NONE,NONE,500000000,118491,23.27%
passflow,mailru,all-12-1785681-80,NONE,NONE,500000000,115869,23.24%
passflow,taobao,all-12-850000-80,NONE,NONE,500000000,214004,17.58%
passflow,taobao,all-12-1785681-80,NONE,NONE,500000000,227103,18.65%
passflow,taobao,all-12-2700000-80,NONE,NONE,500000000,209593,17.21%
passflow,taobao,all-12-4710736-80,NONE,NONE,500000000,225153,18.49%
passgpt,rockyou,all-12-850000-80,NONE,NONE,500000000,1055249,30.98%
passgpt,rockyou,all-12-1785681-80,NONE,NONE,500000000,1420809,41.72%
passgpt,rockyou,all-12-2700000-80,NONE,NONE,500000000,1498819,44.01%
passgpt,rockyou,all-12-4710736-80,NONE,NONE,500000000,1580268,46.40%
passgpt,rockyou,all-12-11802325-80,NONE,NONE,500000000,1663950,48.85%
passgpt,linkedin,all-12-850000-80,NONE,NONE,500000000,1246494,12.49%
passgpt,linkedin,all-12-1785681-80,NONE,NONE,500000000,1794105,17.97%
passgpt,linkedin,all-12-2700000-80,NONE,NONE,500000000,1971583,19.75%
passgpt,linkedin,all-12-4710736-80,NONE,NONE,500000000,2196855,22.00%
passgpt,linkedin,all-12-11802325-80,NONE,NONE,500000000,2523000,25.27%
passgpt,linkedin,all-12-20000000-80,NONE,NONE,500000000,2686401,26.91%
passgpt,linkedin,all-12-40000000-80,NONE,NONE,500000000,2853447,28.58%
passgpt,mailru,all-12-850000-80,NONE,NONE,500000000,164129,32.93%
passgpt,mailru,all-12-1785681-80,NONE,NONE,500000000,201153,40.35%
passgpt,taobao,all-12-850000-80,NONE,NONE,500000000,334926,27.51%
passgpt,taobao,all-12-1785681-80,NONE,NONE,500000000,354351,29.11%
passgpt,taobao,all-12-2700000-80,NONE,NONE,500000000,362930,29.81%
passgpt,taobao,all-12-4710736-80,NONE,NONE,500000000,374932,30.80%
vgpt2,rockyou,all-12-850000-80,NONE,NONE,500000000,203520,5.97%
vgpt2,rockyou,all-12-1785681-80,NONE,NONE,500000000,468437,13.75%
vgpt2,rockyou,all-12-2700000-80,NONE,NONE,500000000,519717,15.25%
vgpt2,rockyou,all-12-4710736-80,NONE,NONE,500000000,561687,16.49%
vgpt2,rockyou,all-12-11802325-80,NONE,NONE,500000000,609988,17.90%
vgpt2,linkedin,all-12-850000-80,NONE,NONE,500000000,147830,1.48%
vgpt2,linkedin,all-12-1785681-80,NONE,NONE,500000000,444272,4.44%
vgpt2,linkedin,all-12-2700000-80,NONE,NONE,500000000,454484,4.55%
vgpt2,linkedin,all-12-4710736-80,NONE,NONE,500000000,537949,5.38%
vgpt2,linkedin,all-12-11802325-80,NONE,NONE,500000000,596873,5.97%
vgpt2,linkedin,all-12-20000000-80,NONE,NONE,500000000,632295,6.33%
vgpt2,linkedin,all-12-40000000-80,NONE,NONE,500000000,655173,6.56%
vgpt2,mailru,all-12-850000-80,NONE,NONE,500000000,31150,6.25%
vgpt2,mailru,all-12-1785681-80,NONE,NONE,500000000,84253,16.90%
vgpt2,taobao,all-12-850000-80,NONE,NONE,500000000,51710,4.24%
vgpt2,taobao,all-12-1785681-80,NONE,NONE,500000000,137422,11.28%
vgpt2,taobao,all-12-2700000-80,NONE,NONE,500000000,138457,11.37%
vgpt2,taobao,all-12-4710736-80,NONE,NONE,500000000,152956,12.56%
fla,rockyou,all-12-850000-80,NONE,NONE,500000000,1911559,56.13%
fla,rockyou,all-12-1785681-80,NONE,NONE,500000000,1953690,57.36%
fla,rockyou,all-12-2700000-80,NONE,NONE,500000000,2058895,60.45%
fla,rockyou,all-12-4710736-80,NONE,NONE,500000000,2046396,60.08%
fla,rockyou,all-12-11802325-80,NONE,NONE,500000000,2059695,60.47%
fla,linkedin,all-12-850000-80,NONE,NONE,500000000,1845289,18.48%
fla,linkedin,all-12-1785681-80,NONE,NONE,500000000,2456549,24.61%
fla,linkedin,all-12-2700000-80,NONE,NONE,500000000,2925465,29.30%
fla,linkedin,all-12-4710736-80,NONE,NONE,500000000,3782817,37.89%
fla,linkedin,all-12-11802325-80,NONE,NONE,500000000,4097825,41.05%
fla,linkedin,all-12-20000000-80,NONE,NONE,500000000,3504305,35.10%
fla,linkedin,all-12-40000000-80,NONE,NONE,500000000,3631686,36.37%
fla,mailru,all-12-850000-80,NONE,NONE,500000000,264853,53.14%
fla,mailru,all-12-1785681-80,NONE,NONE,500000000,273891,54.95%
fla,taobao,all-12-850000-80,NONE,NONE,500000000,522723,42.94%
fla,taobao,all-12-1785681-80,NONE,NONE,500000000,537060,44.12%
fla,taobao,all-12-2700000-80,NONE,NONE,500000000,545183,44.79%
fla,taobao,all-12-4710736-80,NONE,NONE,500000000,554337,45.53%
