model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
passgan,rockyou,all-12-850000-80,NONE,NONE,500000000,327024,9.60%
passgan,rockyou,all-12-1785681-80,NONE,NONE,500000000,x,11.31%
passgan,rockyou,all-12-2700000-80,NONE,NONE,500000000,x,12.78%
passgan,rockyou,all-12-4710736-80,NONE,NONE,500000000,416248,12.22%
passgan,rockyou,all-12-11802325-80,NONE,NONE,500000000,421129,12.36%
passgan,linkedin,all-12-850000-80,NONE,NONE,500000000,441552,4.42%
passgan,linkedin,all-12-1785681-80,NONE,NONE,500000000,438003,4.38%
passgan,linkedin,all-12-2700000-80,NONE,NONE,500000000,378897,3.79%
passgan,linkedin,all-12-4710736-80,NONE,NONE,500000000,252334,2.52%
passgan,linkedin,all-12-11802325-80,NONE,NONE,500000000,332759,3.33%
passgan,linkedin,all-12-20000000-80,NONE,NONE,500000000,486422,4.87%
passgan,linkedin,all-12-40000000-80,NONE,NONE,500000000,399042,3.99%
passgan,mailru,all-12-850000-80,NONE,NONE,500000000,63488,12.73%
passgan,mailru,all-12-1785681-80,NONE,NONE,500000000,80560,16.16%
passgan,taobao,all-12-850000-80,NONE,NONE,500000000,160190,13.15%
passgan,taobao,all-12-1785681-80,NONE,NONE,500000000,x,10.16%
passgan,taobao,all-12-2700000-80,NONE,NONE,500000000,x,10.80%
passgan,taobao,all-12-4710736-80,NONE,NONE,500000000,147458,12.11%
plrgan,rockyou,all-12-850000-80,NONE,NONE,500000000,656957,19.29%
plrgan,rockyou,all-12-1785681-80,NONE,NONE,500000000,654421,19.21%
plrgan,rockyou,all-12-2700000-80,NONE,NONE,500000000,602612,17.69%
plrgan,rockyou,all-12-4710736-80,NONE,NONE,500000000,615378,18.06%
plrgan,rockyou,all-12-11802325-80,NONE,NONE,500000000,669428,19.65%
plrgan,linkedin,all-12-850000-80,NONE,NONE,500000000,782620,7.83%
plrgan,linkedin,all-12-1785681-80,NONE,NONE,500000000,807506,8.08%
plrgan,linkedin,all-12-2700000-80,NONE,NONE,500000000,791631,7.92%
plrgan,linkedin,all-12-4710736-80,NONE,NONE,500000000,837460,8.38%
plrgan,linkedin,all-12-11802325-80,NONE,NONE,500000000,652661,6.53%
plrgan,linkedin,all-12-20000000-80,NONE,NONE,500000000,711228,7.12%
plrgan,linkedin,all-12-40000000-80,NONE,NONE,500000000,842732,8.44%
plrgan,mailru,all-12-850000-80,NONE,NONE,500000000,106016,21.26%
plrgan,mailru,all-12-1785681-80,NONE,NONE,500000000,106192,21.30%
plrgan,taobao,all-12-850000-80,NONE,NONE,500000000,200254,16.45%
plrgan,taobao,all-12-1785681-80,NONE,NONE,500000000,198353,16.29%
plrgan,taobao,all-12-2700000-80,NONE,NONE,500000000,195393,16.05%
