Model,1000000 -> 2500000,2500000 -> 5000000,5000000 -> 7500000,7500000 -> 10000000,10000000 -> 25000000,25000000 -> 50000000,50000000 -> 75000000,75000000 -> 100000000,100000000 -> 250000000,250000000 -> 500000000
fla,4.33,4.17,2.66,1.93,6.57,5.55,3.33,2.34,7.44,5.84
passflow,0.62,0.73,0.56,0.44,1.72,1.58,1.05,0.8,2.84,2.48
passgan,0.49,0.55,0.4,0.32,1.23,1.14,0.75,0.56,1.96,1.63
passgpt,1.2,1.6,1.34,1.18,5.21,5.45,3.66,2.73,8.89,6.53
plrgan,0.62,0.74,0.57,0.48,1.94,1.96,1.34,1.03,3.67,3.21
vgpt2,0.18,0.28,0.25,0.24,1.18,1.45,1.11,0.92,3.65,3.43
